,EventTemplate,Occurrences
0,workerEnv.init() ok {path},569
1,mod_jk child workerEnv in error state 6,341
2,jk2_init() Found child {child_pid} in scoreboard slot {slot_number},634
3,jk2_init() Found child {child_id} in scoreboard slot {slot_number},192
4,mod_jk child workerEnv in error state {state},28
5,mod_jk child {workerEnv} in error state {state},108
6,mod_jk child workerEnv in error state 7,59
7,[client {ip}] Directory index forbidden by rule: {path},32
8,mod_jk child workerEnv in error state 10,3
9,jk2_init() Found child {child} in scoreboard slot {slot},10
10,jk2_init() Can't find child {child_id} in scoreboard,12
11,mod_jk child init {number} {number},12
