,EventTemplate,Occurrences
0,Created MRAppMaster for application {application},1
1,Executing with tokens:,1
2,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: {id} cluster_timestamp: {cluster_timestamp} } attemptId: {attemptId} } keyId: {keyId})",1
3,Using mapred newApiCommitter.,1
4,OutputCommitter set in config {config},1
5,OutputCommitter is {committer},1
6,Registering class {class} for class {class},6
7,Registering class {class} for class {handler},1
8,Registering class {class1} for class {class2},2
9,Default file system [hdfs://{hostname}:{port}],3
10,Emitting job history data to the timeline server is not enabled,1
11,loaded properties from hadoop-metrics2.properties,1
12,Scheduled snapshot period at 10 second(s).,1
13,MRAppMaster metrics system started,1
14,Adding job token for {job_id} to jobTokenSecretManager,1
15,Not uberizing {job} because: {reason},1
16,Input size for job {job_id} = {input_size}. Number of splits = {num_splits},1
17,Number of reduces for job {job_id} = {num_reduces},1
18,job_{job_id}Job Transitioned from {old_state} to {new_state},1
19,"MRAppMaster launching normal, non-uberized, multi-container job {job_id}.",1
20,Using callQueue class {class},2
21,Starting Socket Reader #1 for port 62260,1
22,Adding protocol {protocol} to the server,1
23,Instantiated MRClientService at {host}/{ip}:{port},1
24,IPC Server Responder: starting,2
25,IPC Server listener on {port}: starting,2
26,Logging to org.slf4j.impl.Log4jLoggerAdapter({logger}) via {via},1
27,Http request log for http.requests.mapreduce is not defined,1
28,Added global filter '{filterName}' (class={className}),1
29,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,1
30,Added filter {filterName} (class={filterClass}) to context static,1
31,adding path spec: /mapreduce/*,1
32,adding path spec: /ws/*,1
33,Jetty bound to port {port},1
34,jetty-6.1.26,1
35,Extract jar:{jar_path} to {destination},1
36,Started HttpServer2$SelectChannelConnectorWithSafeStartup@0.0.0.0:{port},1
37,Web app /mapreduce started at {time},1
38,Registered webapp guice modules,1
39,JOB_CREATE {job_id},1
40,nodeBlacklistingEnabled:{value},1
41,maxTaskFailuresPerNode is {value},1
42,blacklistDisablePercent is {percent},1
43,Starting Socket Reader #1 for port {port},1
44,Connecting to ResourceManager at {host}/{ip}:{port},1
45,"maxContainerCapability: <memory:{memory}, vCores:{core}>",1
46,queue: {queue},1
47,Upper limit on the thread pool size is 500,1
48,yarn.client.max-cached-nodemanagers-proxies : {value},1
49,job_{job_id}Job Transitioned from {prev_state} to {new_state},2
50,Processing the event EventType: JOB_SETUP,1
51,Resolved {hostname} to {ip_address},22
