,EventTemplate,Occurrences
0," {ip_address} ""GET {endpoint} HTTP/1.1"" status: {status} len: {len} time: {time}",350
1,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580249",1
2,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",353
3,[instance: {instance_id}] VM Started (Lifecycle Event),7
4,[instance: {instance_id}] {event_type} ({event_subtype}),27
5,[{instance_id}] During sync_power_state the instance has a pending task ({task}). {action}.,15
6,image {image_id} at ({path}): {status},62
7,"image {image_id} at ({path}): in use: on this node {local_count} local, {other_count} on other nodes sharing this instance storage",76
8,Active base files: {file_path},82
9,Creating event {event_type} for instance {instance_id},10
10,"{ip_address} ""POST {endpoint}"" status: {status} len: {len} time: {time}""",52
11,[instance: {instance_id}] {event_type} (Lifecycle Event),6
12,[{instance_id}] Instance spawned successfully.,20
13,[{instance_id}] Took {time} seconds to spawn the instance on the hypervisor.,20
14,[instance: {instance_id}] {event} ({lifecycle_event}),27
15,[instance: {instance_id}] Took {time} seconds to build instance.,4
16,Auditing locally available compute resources for node {node_name},15
17,"Total usable vcpus: {usable_vcpus}, total allocated vcpus: {allocated_vcpus}",15
18,Final resource view: name={name} phys_ram={phys_ram} used_ram={used_ram} phys_disk={phys_disk} used_disk={used_disk} total_vcpus={total_vcpus} used_vcpus={used_vcpus} pci_stats={pci_stats},12
19,Compute_service record updated for {server}:{server},10
20," {ip_address},{ip_address} ""GET {endpoint} HTTP/1.1"" status: {status} len: {len} time: {time}",53
21,"{ip_address} ""GET {endpoint} HTTP/1.1"" status: {status} len: {len} time: {time}",37
22," {ip_address} ""DELETE {endpoint}"" status: {status} len: {len} time: {time}",12
23," {ip_address},{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",30
24,[{instance_id}] Terminating instance,8
25,[{instance_id}] Instance destroyed successfully.,18
26,[{instance_id}] Deleting instance files {file_path},3
27,[{instance}: {action} of {path} {status}],1
28,[instance: {instance_id}] Took {time} seconds to destroy the instance on the hypervisor.,4
29,[{instance_id}] Took {time} seconds to deallocate network for instance.,21
30,Unknown base file: {file_path},30
31,Removable base files: {file_path},30
32,Removing base or swap file: {file_path},21
