,EventTemplate,Occurrences
0,data_thread() got not answer from any [<*>],771
1,"synchronized to <*>, stratum <*>",567
2,[ib_sm_sweep.c:<*>]: <*>,93
3,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,62
4,data_thread() got not answer from any [<*>] datasource,48
5,[ib_sm_sweep.c:<*>]: No topology change,30
6,Warning: we failed to resolve data source name <*>,30
7,session closed for user <*>,24
8,session opened for user <*> by (uid=<*>),19
9,Reading included configuration file: <*> [file=<*>] [line=<*>],17
10,DHCPDISCOVER from <*> via eth1: network <*>: <*>,15
11,(<*>) CMD (run-parts <*>),14
12,unable to qualify my own domain name (<*>) -- using short name,10
13,DHCPREQUEST for <*> (<*>) from <*> via <*>: unknown lease <*>.,8
14,"PCI interrupt <*>[A] -> GSI <*> (<*>, <*>) -> IRQ <*>",8
15,Wait for ready failed before probe !,6
16,DHCPDISCOVER from <*> via eth1,5
17,DHCPOFFER on <*> to <*> via eth1,5
18,RRD_update (<*> Nodes/dn731/pkts_out.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),5
19,My unqualified host name (<*>) unknown; sleeping for retry,5
20,L2 cache: <*>,5
21,Physical Processor ID: <*>,5
22,"Trace cache: <*> uops, L1 D cache: <*>",5
23,Registered protocol family <*>,5
24,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),4
25,LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),4
26,LAPIC_NMI (acpi_id[<*>] high edge lint[<*>]),4
27,PCI Interrupt Routing Table [<*>],4
28,(C) <*>-<*> Netfilter core team,4
29,Local disconnected: Connection closed.,3
30,connection lost: '<*>',3
31,DHCPREQUEST for <*> (<*>) from <*> via <*>,3
32,IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),3
33,PCI Interrupt Routing Table [\{interrupt_routing_table\}],3
34,"PCI interrupt <*> -> GSI <*> (<*>, <*>) -> IRQ <*>",3
35,Processor [<*>] (supports <*>),3
36,mounted filesystem with ordered data mode.,3
37,"apic_id <*>, version <*>, address <*>, GSI <*>",3
38,DHCPACK on <*> to <*> via eth1,2
39,[<*>],2
40,allocating divert_blk for <*>,2
41,... autorun DONE.,2
42,Autodetecting RAID arrays.,2
43,autorun ...,2
44,"connection from ""<*>""",2
45,"User <*>, coming from <*>, authenticated.",2
46,Now running on <*>'s privileges.,2
47,Warning: we failed to resolve data source name <*> a,2
48,succeeded,2
49,removing chargen,2
50,removing daytime,2
51,removing echo,2
52,removing time,2
53,"jA9J1UvC004306: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
54,"jA9J1UvC004306: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",1
55,"jA9J1Wd7019391: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
56,"jA9J1Wd7019391: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",1
57,"jA9J1WSU011176: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
58,"jA9J1WSU011176: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",1
59,"jA9J1WFE024258: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
60,"jA9J1WFE024258: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",1
61,"jA9J1dQ7016560: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
62,"jA9J1dQ7016560: to=<*>, ctladdr=<*> (0/0), delay=<*>, xdelay=<*>, mailer=relay, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",1
63,DHCPACK on <*> to <*> via <*>,1
64,START: tftp pid=<*> from=<*>,1
65,DHCPREQUEST for <*> (<*>) from <*> via <*>: <*>,1
66,RRD_update (<*> Nodes/cn304/pkts_out.rrd): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),1
67,kernel time sync disabled <*>,1
68,time reset <*> s,1
69,Received SNMP packet(s) from <*>,1
70,[ib_sm_sweep.c:<*>]: No configuration change required,1
71,"synchronized to LOCAL(<*>), stratum <*>",1
72,kernel time sync enabled <*>,1
73,(<*>) CMD (<*>),1
74,(<*>) CMD (<*> b),1
75,(<*>) CMD (<*> c),1
76,(<*>) CMD (<*> <*>),1
77,(<*>) CMD (<*> e),1
78,CentOS-<*> (Kernel Module GPG key),1
79,(supports <*> <*> <*>),1
80,DSDT (v001 <*> <*> 0x00000001 <*> 0x0100000e) @ 0x0000000000000000,1
81,FADT (v001 <*> <*> <*> <*> <*>) @ <*>,1
82,HPET (v001 DELL PE BKC <*> MSFT <*>) @ <*>,1
83,HPET id: <*> base: <*>,1
84,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl),1
85,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*>),1
86,IRQ0 used by override.,1
87,IRQ2 used by override.,1
88,IRQ9 used by override.,1
89,Interpreter enabled,1
90,Local APIC address <*>,1
91,MADT (v001 DELL PE BKC <*> MSFT <*>) @ <*>,1
92,MCFG (v001 DELL PE BKC <*> MSFT <*>) @ <*>,1
93,PCI Interrupt Link [LNKA] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *14,1
94,PCI Interrupt Link [LNKB] (IRQs <*> <*> <*> <*> <*> <*> *11 <*>),1
95,PCI Interrupt Link [LNKC] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *15,1
96,"PCI Interrupt Link [LNKD] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *0, disabled.",1
97,"PCI Interrupt Link [LNKE] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>) *0, disabled.",1
