,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{${wtoken} token=Token{${token} ActivityRecord{${activityRecord} u0 ${packageName} t${taskId}}}}, allDrawn= ${allDrawn}, startingDisplayed = ${startingDisplayed}, startingMoved = ${startingMoved}, isRelaunching = ${isRelaunching}",1
1,"acquire lock=..., flags=..., tag=..., name=..., ws=..., uid=..., pid=...",11
2,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj}userId={userId}",199
3,Skipping AppWindowToken{token} -- going to hide,2
4,visible is system.time.showampm,1
5,mVisiblity.getValue is false,5
6,visible is system.charge.show,1
7,visible is system.call.count gt 0,1
8,visible is system.message.count gt 0,1
9,visible is system.ownerinfo.show,1
10,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}"", ws={ws}, uid={uid}, pid={pid}",18
11,"updateClipping isOverlap:{isOverlap}, getTopPadding={getTopPadding}, Translation={Translation}",65
12,updateDimmedActivatedHideSensitive overlap:false,52
13,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,24
14,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",5
15,"setSystemUiVisibility vis={vis} mask={mask} oldVal={oldVal} newVal={newVal} diff={diff} fullscreenStackVis={fullscreenStackVis} dockedStackVis={dockedStackVis}, fullscreenStackBounds=Rect({fullscreenStackBounds}), dockedStackBounds=Rect({dockedStackBounds})",200
16,cancelAutohide,15
17,"notifyUiVisibilityChanged:vis={vis}, SystemUiVisibility={SystemUiVisibility}",19
18,Destroying surface Surface(name={name}) called by {caller}:<bottom of call stack> <bottom of call stack>,1
19,Destroying surface Surface(name={name}) called by {caller},7
20,"userActivityNoUpdateLocked: eventTime={eventTime}, event={event}, flags={flags}, uid={uid}",69
21,"orientation change is complete, call stopFreezingDisplayLocked",1
22,Screen frozen for +{duration}s{ms} due to {window},1
23,startAnimation begin,1
24,startAnimation end,1
25,remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,1
26,"rotationForOrientationLw(orient={orient}, last={last}); user={user} USER_ROTATION_LOCKED",3
27,"Application requested orientation 1, got rotation 0 which has compatible metrics",2
28,shouldBlockLocation running ...,37
