,EventTemplate,Occurrences
0,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,13
1,Thermal pressure state: {state1} Memory pressure state: {state2},11
2,FA||Url||taskID[{taskID}] dealloc,8
3,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],1
4,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[{state}],1
5,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 ({address}),1
6,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': 0,",1
7,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: {seq}, Ack: {ack}, Win size: {win_size}",1
8,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,1
9,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,16
10,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,15
11,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",1
12,AppleCamIn::systemWakeCall - messageType = {type},50
13,"setting hostname to ""{hostname}""",7
14,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds. Ignoring.",1
15,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,7
16,[time] <<<< CRABS >>>> crabsFlumeHostAvailable: [{hex}] Byte flume reports host available again.,1
17,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds. Ignoring.",1
18,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,7
19,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = {route} port = {port} unplug = {unplug},4
20,"PM response took {time} ms ({code}, {source})",1
21,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds. Ignoring.",1
22,"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64",1
23,"ARPT: 621145.554555: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': 0,",1
24,"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: {seq}, Ack: {ack}, Win size: {win_size}",1
