,EventTemplate,Occurrences
0,"Registered signal handlers for [TERM, HUP, INT]",1
1,Changing view acls to: {view_acls},2
2,"Changing modify acls to: {var1},{var2}",2
3,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({view_permissions}); users with modify permissions: Set({modify_permissions}),2
4,Slf4jLogger started,1
5,Starting remoting,1
6,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@{hostname}:{port}],1
7,Successfully started service 'sparkExecutorActorSystem' on port 55904.,1
8,Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4,1
9,MemoryStore started with capacity {capacity},1
10,Connecting to driver: spark://{hostname}:{port},1
11,Successfully registered with driver,1
12,Starting executor ID {executor_id} on host {host},1
13,Successfully started service '{service}' on port {port}.,1
14,Server created on {port},1
15,Trying to register BlockManager,1
16,Registered BlockManager,1
17,Got assigned task {task_number},7
18,Running task {task_id} in stage {stage_id} (TID {tid}),206
19,Running task {task} in stage {stage} (TID {tid}),99
20,Started reading broadcast variable {int},17
21,"Block broadcast_9_piece0 stored as bytes in memory (estimated size {float} KB, free {float} KB)",1
22,Reading broadcast variable {int} took {int} ms,33
23,"Block broadcast_9 stored as values in memory (estimated size {double}, free {double})",1
24,"Partition {partition_name} not found, computing it",29
25,Input split: hdfs://{ip}:{port}/{path}:{start}+{length},33
26,Input split: hdfs://{ip}:{port}/{path}:{start}+{end},2
27,Started reading broadcast variable {var},20
28,"Block broadcast_8_piece0 stored as bytes in memory (estimated size {float} KB, free {float} KB)",1
29,"Block broadcast_8 stored as values in memory (estimated size {double} KB, free {double} KB)",1
30,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",1
31,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",1
32,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",1
33,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",1
34,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",1
35,"Block broadcast_0_piece0 stored as bytes in memory (estimated size {size} B, free {free} KB)",1
36,"Block broadcast_0 stored as values in memory (estimated size {double} B, free {double} KB)",1
37,"Block broadcast_4_piece0 stored as bytes in memory (estimated size {size} B, free {free} KB)",1
38,"Block broadcast_4 stored as values in memory (estimated size {double} B, free {double} KB)",1
39,"Block broadcast_3_piece0 stored as bytes in memory (estimated size {float} B, free {float} KB)",1
40,"Block broadcast_3 stored as values in memory (estimated size {double} B, free {double} KB)",1
41,"Block broadcast_1_piece0 stored as bytes in memory (estimated size {float} B, free {float} KB)",1
42,"Block broadcast_1 stored as values in memory (estimated size {double} B, free {double} KB)",1
43,"Block broadcast_2_piece0 stored as bytes in memory (estimated size {float} B, free {float} KB)",1
44,"Block broadcast_2 stored as values in memory (estimated size {double} B, free {double} KB)",1
45,"Times: total = {total}, boot = {boot}, init = {init}, finish = {finish}",374
46,"Times: total = {total_time}, boot = {boot_time}, init = {init_time}, finish = {finish_time}",1
47,"Block rdd_2_2 stored as bytes in memory (estimated size {double} B, free {double} KB)",1
48,"Block rdd_{num1}_{num2} stored as bytes in memory (estimated size {size} B, free {free} KB)",2
49,"Block rdd_2_1 stored as bytes in memory (estimated size {double} B, free {double} KB)",1
50,"Block rdd_2_0 stored as bytes in memory (estimated size {double} B, free {double} KB)",1
51,"Block rdd_2_4 stored as bytes in memory (estimated size {double} B, free {double} KB)",1
52,Finished task {task_id} in stage {stage_id} (TID {tid}). {result_size} bytes result sent to driver,297
53,Got assigned task {taskId},197
54,Got assigned task {task_id},101
55,"Block broadcast_10_piece0 stored as bytes in memory (estimated size {float} KB, free {float} KB)",1
56,"Block broadcast_10 stored as values in memory (estimated size {double}, free {double})",1
57,Found block {block_id} locally,256
58,"Block broadcast_11_piece0 stored as bytes in memory (estimated size {float} KB, free {float} KB)",1
59,"Block broadcast_11 stored as values in memory (estimated size {double} KB, free {double} KB)",1
60,"Block broadcast_12_piece0 stored as bytes in memory (estimated size {float} KB, free {float} KB)",1
61,"Block broadcast_12 stored as values in memory (estimated size {double}, free {double})",1
62,"Block rdd_6_4 stored as bytes in memory (estimated size {double} B, free {double} KB)",1
63,"Block rdd_6_3 stored as bytes in memory (estimated size {double} B, free {double} KB)",1
64,"Block rdd_6_1 stored as bytes in memory (estimated size {double} B, free {double} KB)",1
65,"Block rdd_6_2 stored as bytes in memory (estimated size {float} B, free {float} KB)",1
66,"Block rdd_6_0 stored as bytes in memory (estimated size {double} B, free {double} KB)",1
67,"Block broadcast_13_piece0 stored as bytes in memory (estimated size {float} KB, free {float} KB)",1
68,"Block broadcast_13 stored as values in memory (estimated size {double}, free {double})",1
69,"Block broadcast_14_piece0 stored as bytes in memory (estimated size {float} KB, free {float} KB)",1
70,"Block broadcast_14 stored as values in memory (estimated size {double}, free {double})",1
