,EventTemplate,Occurrences
0,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",375
1,Got assigned task <*>,305
2,Running task <*> in stage <*> (TID <*>),305
3,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,300
4,Found block <*> locally,257
5,"Partition <*> not found, computing it",62
6,Input split: hdfs://<*>/<*>+<*>,45
7,Started reading broadcast variable <*>,37
8,Reading broadcast variable <*> took <*> ms,37
9,File Output Committer Algorithm version is <*>,30
10,Saved output of task '<*>' to <*>,30
11,"Partition <*> found, computing it",9
12,"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)",7
13,<*>: Committed,3
14,Changing view acls to: <*>,2
15,"Changing modify acls to: <*>,<*>",2
16,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>); users with modify permissions: Set(<*>),2
17,<*>,2
18,"Registered signal handlers for [TERM, HUP, INT]",1
19,Slf4jLogger started,1
20,Starting remoting,1
21,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@<*>],1
22,Successfully started service 'sparkExecutorActorSystem' on port <*>.,1
23,Created local directory at <*>,1
24,MemoryStore started with capacity <*>,1
25,Connecting to driver: spark://<*>,1
26,Successfully registered with driver,1
27,Starting executor ID <*> on host <*>,1
28,Successfully started service '<*>' on port <*>.,1
29,Server created on <*>,1
30,Trying to register BlockManager,1
31,Registered BlockManager,1
32,"Block broadcast_9_piece0 stored as bytes in memory (estimated size <*> KB, free <*> KB)",1
33,"Block broadcast_9 stored as values in memory (estimated size <*>, free <*>)",1
34,"Block broadcast_8_piece0 stored as bytes in memory (estimated size <*> KB, free <*> KB)",1
35,"Block broadcast_8 stored as values in memory (estimated size <*> KB, free <*> KB)",1
36,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",1
37,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",1
38,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",1
39,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",1
40,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",1
41,"Block broadcast_0_piece0 stored as bytes in memory (estimated size <*> B, free <*> KB)",1
42,"Block broadcast_0 stored as values in memory (estimated size <*> B, free <*> KB)",1
43,"Block broadcast_4_piece0 stored as bytes in memory (estimated size <*> B, free <*> KB)",1
44,"Block broadcast_4 stored as values in memory (estimated size <*> B, free <*> KB)",1
45,"Block broadcast_3_piece0 stored as bytes in memory (estimated size <*> B, free <*> KB)",1
46,"Block broadcast_3 stored as values in memory (estimated size <*> B, free <*> KB)",1
47,"Block broadcast_1_piece0 stored as bytes in memory (estimated size <*> B, free <*> KB)",1
48,"Block broadcast_1 stored as values in memory (estimated size <*> B, free <*> KB)",1
49,"Block broadcast_2_piece0 stored as bytes in memory (estimated size <*> B, free <*> KB)",1
50,"Block broadcast_2 stored as values in memory (estimated size <*> B, free <*> KB)",1
51,"Block rdd_2_2 stored as bytes in memory (estimated size <*> B, free <*> KB)",1
52,"Block rdd_2_1 stored as bytes in memory (estimated size <*> B, free <*> KB)",1
53,"Block rdd_2_0 stored as bytes in memory (estimated size <*> B, free <*> KB)",1
54,"Block rdd_2_4 stored as bytes in memory (estimated size <*> B, free <*> KB)",1
55,"Block broadcast_10_piece0 stored as bytes in memory (estimated size <*> KB, free <*> KB)",1
56,"Block broadcast_10 stored as values in memory (estimated size <*>, free <*>)",1
57,"Block broadcast_11_piece0 stored as bytes in memory (estimated size <*> KB, free <*> KB)",1
58,"Block broadcast_11 stored as values in memory (estimated size <*> KB, free <*> KB)",1
59,"Block broadcast_12_piece0 stored as bytes in memory (estimated size <*> KB, free <*> KB)",1
60,"Block broadcast_12 stored as values in memory (estimated size <*>, free <*>)",1
61,"Block rdd_6_4 stored as bytes in memory (estimated size <*> B, free <*> KB)",1
