,EventTemplate,Occurrences
0,instruction cache parity error corrected,42
1,{count} double-hummer alignment exceptions,77
2,"CE sym {sym}, at {address}, mask {mask}",92
3,ciod: failed to read message prefix on control stream (CioStream socket to {ip}:{port},3
4,generating core.{code},507
5,generating core.{pid},164
6,force load/store alignment...............{code},2
7,generating core.{core_id},35
8,ciod: cpu {cpu} at treeaddr {treeaddr} sent unrecognized message {message},1
9,generating core.{year},3
10,ciod: LOGIN chdir({directory}) failed: {error},17
11,"{count} ddr errors(s) detected and corrected on rank {rank}, symbol {symbol}, bit {bit}",18
12,data TLB error interrupt,60
13,ciod: Message code {code} is not {value} or {value},1
14,data storage interrupt,30
15,instruction address: {address},21
16,data address: {address},8
17,machine check: i-fetch......................{code},5
18,program interrupt: illegal instruction......{code},8
19,exception syndrome register: {register},6
20,data store interrupt caused by dcbf.........{code},5
21,program interrupt: privileged instruction...{code},5
22,program interrupt: trap instruction.........{code},1
23,program interrupt: imprecise exception......{code},5
24,store operation.............................{code},2
25,machine state register: {register},4
26,data store interrupt caused by icbi.........{code},5
27,"problem state (0=sup,1=usr).......{state}",3
28,floating point instr. enabled.....{code},4
29,auxiliary processor.........................{code},5
30,machine check enable..............{code},2
31,floating pt ex mode {mode} enable......{enable},5
32,program interrupt: unimplemented operation..{code},2
33,debug interrupt enable............{code},1
34,byte ordering exception.....................{code},2
35,data address space................{code},5
36,core configuration register: {register},7
37,program interrupt: fp cr update.............{code},1
38,guaranteed instruction cache block touch.{block},2
39,program interrupt: fp cr field .............{value},4
40,guaranteed data cache block touch........{code},1
41,icache prefetch depth....................{depth},1
42,icache prefetch threshold................{threshold},2
43,wait state enable.................{code},1
44,critical input interrupt enable...{code},1
45,special purpose registers:,1
46,lr:{lr} cr:{cr} xer:{xer} ctr:{ctr},1
47,rts internal error,1
48,debug wait enable.................{code},2
49,instruction address space.........{space},1
50,disable store gathering..................{code},3
51,total of {count} ddr error(s) detected and corrected,13
52,generating core.{core_number},5
53,ciod: Error loading {file_path}: {error_message},12
54,ciod: Error creating node map from file {file}: {error},1
55,"ciod: Error loading {file}: invalid or missing program image, No such file or directory",1
56,{code} double-hummer alignment exceptions,10
57,{number} double-hummer alignment exceptions,12
58,generating core.{process_id},6
59,ciod: Error loading {path}: {error},29
60,program interrupt,3
61,Node card is not fully functional,6
62,ciod: Error creating node map from file {file}: Bad file descriptor,1
63,Ido chip status changed: {mac} ip={ip} v={version} t={type} status={status} {timestamp},4
64,Can not get assembly information for node card,6
65,ciod: Missing or invalid fields on line {line} of node map file {file},2
66,1 torus receiver z+ input pipe error(s) (dcr {dcr}) detected and corrected,1
67,632431728 double-hummer alignment exceptions,1
68,ciod: duplicate canonical-rank {canonical_rank} to logical-rank {logical_rank} mapping at line {line} of node map file {file},1
69,ciod: Error creating node map from file {file}: Block device required,1
70,{timestamp} double-hummer alignment exceptions,4
71,rts panic! - stopping execution,2
72,118661512 double-hummer alignment exceptions,1
73,generating core.{core},1
74,ciod: Error creating node map from file {file}: Permission denied,1
75,ciod: Z coordinate {coord} exceeds physical dimension {dim} at line {line} of node map file {file},1
76,"rts: kernel terminated for reason {reason}rts: bad message header: invalid cpu, type={type}, cpu={cpu}, index={index}, total={total}",1
77,{count} floating point alignment exceptions,113
78,5 floating point alignment exceptions,7
79,New ido chip inserted into the database: {ido} ip={ip} v={version} t={type},3
80,NodeCard is not fully functional,1
81,"Node card status: ALERT {alert}, ALERT {alert}, ALERT {alert}, ALERT {alert} is (are) active. Clock Mode is {mode}. Clock Select is {select}. Phy JTAG Reset is {phy}. ASIC JTAG Reset is not {asic}. Temperature Mask is not {temp}. No temperature error. Temperature Limit Error Latch is clear. PGOOD is {pgood}. PGOOD error latch is {pgood_latch}. MPGOOD is {mpgood}. MPGOOD error latch is {mpgood_latch}. The 2.5 volt rail is OK. The 1.5 volt rail is OK.",1
82,"Node card VPD check: U11 node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found}",3
83,idoproxydb hit ASSERT condition: ASSERT expression={expression} Source file={file} Source line={line} Function={function},35
84,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The {volt} volt rail is OK. The {volt} volt rail is OK.,5
85,"Node card VPD check: U{unit} node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found}",3
86,"PrepareForService shutting down NodeCard(mLctn({location}), mCardSernum({serial}), mLp({lp}), mIp({ip}), mType({type})) as part of Service Action {action}",1
87,rts tree/torus link training failed: wanted: {wanted} got: {got},1
88,{count} tree receiver {number} in re-synch state event(s) (dcr {dcr}) detected,1
89,ciod: LOGIN chdir(pwd) failed: No such file or directory,2
90,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to {ip}:{port}: Link has been severed,9
91,rts: kernel terminated for reason {reason},6
92,ciod: generated {count} core files for program {program},29
93,iar {iar} dear {dear},207
94,155918940 double-hummer alignment exceptions,1
95,23768676 double-hummer alignment exceptions,1
96,47332148 double-hummer alignment exceptions,1
97,24669022 double-hummer alignment exceptions,1
98,"NFS Mount failed on {server}, slept {seconds} seconds, retrying ({retry})",2
99,Lustre mount FAILED : {server} : point {mount_point},9
100,1 torus receiver x+ input pipe error(s) (dcr {dcr}) detected and corrected,1
