,LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate
0,1,Jul,1,09:00:55,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,E252,IOThunderboltSwitch<{int}>({hex})::listenerCallback - Thunderbolt HPD packet for route = {hex} port = {int} unplug = {int}
1,2,Jul,1,09:01:05,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,E323,Thermal pressure state: {int} Memory pressure state: {int}
2,3,Jul,1,09:01:06,calvisitor-10-105-160-95,QQ,10018,,FA||Url||taskID[2019352994] dealloc,E216,FA||Url||taskID[{int}] dealloc
3,4,Jul,1,09:02:26,calvisitor-10-105-160-95,kernel,0,,ARPT: 620701.011328: AirPort_Brcm43xx::syncPowerState: WWEN[enabled],E128,ARPT: {float}: AirPort_Brcm43xx::syncPowerState: WWEN[{state}]
4,5,Jul,1,09:02:26,authorMacBook-Pro,kernel,0,,ARPT: 620702.879952: AirPort_Brcm43xx::platformWoWEnable: WWEN[disable],E124,ARPT: {float}: AirPort_Brcm43xx::platformWoWEnable: WWEN[{string}]
5,6,Jul,1,09:03:11,calvisitor-10-105-160-95,mDNSResponder,91,,mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),E260,mDNS_DeregisterInterface: Frequent transitions for interface {interface} ({address})
6,7,Jul,1,09:03:13,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620749.901374: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",E135,"ARPT: {float}: IOPMPowerSource Information: onSleep, SleepType: {string} Sleep, 'ExternalConnected': {string}, 'TimeRemaining': {int},"
7,8,Jul,1,09:04:33,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620750.434035: wl0: wl_update_tcpkeep_seq: Original Seq: 3226706533, Ack: 3871687177, Win size: 4096",E149,"ARPT: {float}: {string}: {string}: {string}: Original Seq: {int}, Ack: {int}, Win size: {int}"
8,9,Jul,1,09:04:33,authorMacBook-Pro,kernel,0,,ARPT: 620752.337198: ARPT: Wake Reason: Wake on Scan offload,E131,ARPT: {float}: ARPT: Wake Reason: Wake on Scan offload
9,10,Jul,1,09:04:37,authorMacBook-Pro,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2
10,11,Jul,1,09:12:20,authorMacBook-Pro,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
11,12,Jul,1,09:12:21,calvisitor-10-105-160-95,symptomsd,215,,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,E50,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2
12,13,Jul,1,09:18:16,calvisitor-10-105-160-95,kernel,0,,"ARPT: 620896.311264: wl0: MDNS: 0 SRV Recs, 0 TXT Recs",E140,"ARPT: {float}: wl0: MDNS: {int} SRV Recs, {int} TXT Recs"
13,14,Jul,1,09:19:03,calvisitor-10-105-160-95,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,E120,AppleCamIn::systemWakeCall - messageType = 0xE0000340
14,15,Jul,1,09:19:03,authorMacBook-Pro,configd,53,,"setting hostname to ""authorMacBook-Pro.local""",E311,"setting hostname to ""{hostname}"""
15,16,Jul,1,09:19:13,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds.  Ignoring.",E189,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 439034 seconds. Ignoring."
16,17,Jul,1,09:21:57,authorMacBook-Pro,corecaptured,31174,,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,E175,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams {int}
17,18,Jul,1,09:21:58,calvisitor-10-105-160-95,com.apple.WebKit.WebContent,25654,,[09:21:58.929] <<<< CRABS >>>> crabsFlumeHostAvailable: [0x7f961cf08cf0] Byte flume reports host available again.,E13,[{time}] <<<< CRABS >>>> crabsFlumeHostAvailable: [{hex}] Byte flume reports host available again.
18,19,Jul,1,09:22:02,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds.  Ignoring.",E189,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2450 seconds. Ignoring."
19,20,Jul,1,09:22:25,calvisitor-10-105-160-95,kernel,0,,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,E58,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL
20,21,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,E109,AirPort: Link Down on awdl0. Reason {int} (Unspecified).
21,22,Jul,1,09:23:26,calvisitor-10-105-160-95,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,E252,IOThunderboltSwitch<{int}>({hex})::listenerCallback - Thunderbolt HPD packet for route = {hex} port = {int} unplug = {int}
22,23,Jul,1,09:24:13,calvisitor-10-105-160-95,kernel,0,,"PM response took 2010 ms (54, powerd)",E288,"PM response took {ms} ms ({int}, {string})"
23,24,Jul,1,09:25:21,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds.  Ignoring.",E189,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 438666 seconds. Ignoring."
24,25,Jul,1,09:25:45,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621131.293163: wl0: Roamed or switched channel, reason #8, bssid 5c:50:15:4c:18:13, last RSSI -64",E143,"ARPT: {float}: {string}: Roamed or switched channel, reason #{int}, bssid {string}, last RSSI {int}"
25,26,Jul,1,09:25:59,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621145.554555: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,",E135,"ARPT: {float}: IOPMPowerSource Information: onSleep, SleepType: {string} Sleep, 'ExternalConnected': {string}, 'TimeRemaining': {int},"
26,27,Jul,1,09:26:41,calvisitor-10-105-160-95,kernel,0,,"ARPT: 621146.080894: wl0: wl_update_tcpkeep_seq: Original Seq: 3014995849, Ack: 2590995288, Win size: 4096",E149,"ARPT: {float}: {string}: {string}: {string}: Original Seq: {int}, Ack: {int}, Win size: {int}"
27,28,Jul,1,09:26:43,calvisitor-10-105-160-95,networkd,195,,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x4 to 0x8000000000000000,E276,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from {hex} to {hex}
28,29,Jul,1,09:26:47,calvisitor-10-105-160-95,com.apple.cts,258,,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds.  Ignoring.",E189,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 2165 seconds. Ignoring."
