,EventTemplate,Occurrences
0,Cocoa scripting error for '<*>': <*>.,71
1,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",45
2,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
3,Thermal pressure state: <*> Memory pressure state: <*>,39
4,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
5,AppleCamIn::systemWakeCall - messageType = 0xE0000340,36
6,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",35
7,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",32
8,com.apple.Addres(<*>) deny network-outbound <*>,29
9,Sandbox: <*>(<*>) deny(<*>) network-outbound <*>,29
10,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[<*>],28
11,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,26
12,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
13,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",24
14,[<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,23
15,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
16,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,22
17,AppleCamIn::wakeEventHandlerThread,20
18,"CCFile::captureLog Received Capture notice id: <*>, reason = <*>",20
19,button report: <*>,20
20,Location icon should now be in state 'Inactive',20
21,AppleCamIn::systemWakeCall - messageType = <*>,20
22,"com.apple.suggestions.harvest: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",19
23,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <*>.,19
24,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - <*>,18
25,FA||Url||taskID[<*>] dealloc,17
