,EventTemplate,Occurrences
0,"<*> ""GET <*>"" status: <*> len: <*> time: <*>",929
1,image <*> at (<*>): checking,82
2,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",82
3,Active base files: <*>,82
4,"<*> ""POST <*>"" status: <*> len: <*> time: <*>",64
5,[instance: <*>] VM Resumed (Lifecycle Event),44
6,[instance: <*>] During sync_power_state the instance has a pending task (<*>). Skip.,43
7,Unknown base file: <*>,30
8,Removable base files: <*>,30
9,[instance: <*>] VM Started (Lifecycle Event),22
10,[instance: <*>] VM Paused (Lifecycle Event),22
11,[instance: <*>] Instance spawned successfully.,22
12,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,22
13,[instance: <*>] Took <*> seconds to build instance.,22
14,[instance: <*>] Terminating instance,22
15,[instance: <*>] Instance destroyed successfully.,22
16,"<*> ""DELETE <*>"" status: <*> len: <*> time: <*>",21
17,[instance: <*>] Deleting instance files <*>,21
18,[instance: <*>] Deletion of <*> complete,21
19,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,21
20,[instance: <*>] Took <*> seconds to deallocate network for instance.,21
21,Removing base or swap file: <*>,21
22,HTTP exception thrown: No instances found for any event,21
23,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",21
24,"[instance: <*>] Total memory: <*> MB, used: <*> MB",21
25,"[instance: <*>] memory limit: <*> MB, free: <*> MB",21
26,"[instance: <*>] Total disk: <*> GB, used: <*> GB",21
27,"[instance: <*>] disk limit not specified, defaulting to unlimited",21
28,"[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",21
29,"[instance: <*>] vcpu limit not specified, defaulting to unlimited",21
30,[instance: <*>] Claim successful,21
31,[instance: <*>] Creating image,21
32,[instance: <*>] VM Stopped (Lifecycle Event),21
33,Auditing locally available compute resources for node <*>,15
34,"Total usable vcpus: <*>, total allocated vcpus: <*>",15
35,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=<*>,15
36,Compute_service record updated for <*>,15
37,Creating event network-vif-plugged:<*> for instance <*>,13
38,Base or swap file too young to remove: <*>,9
39,Creating event <*>: <*>,5
40,The instance sync for host '<*>' did not match. Re-created its InstanceList.,5
41,Creating event <*> for instance <*>,3
42,Successfully synced instances from host '<*>'.,2
43,"<*> ""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",2
44,Running instance usage audit for host <*> from <*> to <*>. <*> instances.,1
45,Creating event <*>: <*> for instance <*>,1
46,"""<*> \""DELETE <*>"" status: <*> len: <*> time: <*>""",1
47,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",1
