,EventTemplate,Occurrences
0,session closed for user {username},24
1,session opened for user {username} by (uid={uid}),19
2,({user}) CMD ({command}),14
3,data_thread() got not answer from any [{datasource}] datasource,622
4,{function_name}() got not answer from any [{data_source}] datasource,171
5,"synchronized to {ip}, stratum {stratum}",568
6,[ib_sm_sweep.c:{process_id}]: ********************** NEW SWEEP ********************,62
7,[ib_sm_sweep.c:{line_number}]: No topology change,22
8,[ib_sm_sweep.c:{line_number}]: No configuration change required,56
9,{function_name}() got not answer from any [{service}] datasource,26
10,{reason} disconnected: {message}.,3
11,connection lost: '{reason}',3
12,[ib_sm_sweep.c:{process_id}]: No topology change,25
13,unable to qualify my own domain name ({hostname}) -- using short name,10
14,"{id}: from={sender}, size={size}, class={class}, nrcpts={recipients}, msgid=<{msgid}>, relay=#{relay}#@{host}",1
15,"jA9J1UvC004306: to={to}, ctladdr={ctladdr} ({ctladdr_count}/{ctladdr_total}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
16,"jA9J1Wd7019391: from={sender}, size={size}, class={class}, nrcpts={nrcpts}, msgid={msgid}, relay={relay}",1
17,"jA9J1Wd7019391: to={recipient}, ctladdr={sender} ({ctladdr}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay={relay} [{relay_host}], dsn={dsn}, stat={status}",1
18,"jA9J1WSU011176: from={sender}, size={size}, class={class}, nrcpts={nrcpts}, msgid={msgid}, relay={relay}",1
19,"jA9J1WSU011176: to={to}, ctladdr={ctladdr} ({ctladdr_count}/{ctladdr_total}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
20,"jA9J1WFE024258: from={from}, size={size}, class={class}, nrcpts={nrcpts}, msgid=<{msgid}>, relay=#{relay}#@{hostname}",1
21,"jA9J1WFE024258: to={to}, ctladdr={ctladdr} ({ctladdr_id}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
22,{dhcp_type} from {mac_address} via {interface},3
23,DHCPOFFER on {ip} to {mac} via {interface},5
24,"jA9J1dQ7016560: from={sender}, size={size}, class={class}, nrcpts={nrcpts}, msgid={msgid}, relay={relay}",1
25,"jA9J1dQ7016560: to={recipient}, ctladdr={sender} ({ctladdr}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay={relay} [{relay_host}] [{dsn}], stat={stat}",1
26,DHCPDISCOVER from {mac_address} via {interface}: {network}: no free leases,11
27,[ib_sm_sweep.c:{process_id}]: No configuration change required,4
28,DHCPACK on {ip} to {mac} via {interface},3
29,DHCPREQUEST for {requested_ip} ({server_ip}) from {mac_address} via {interface},3
30,START: tftp pid={pid} from={ip},1
31,DHCPREQUEST for {requested_ip} ({server_ip}) from {mac_address} via {interface}: {message},7
32,{action} from {mac_address} via {interface},2
33,{dhcp_action} from {mac_address} via {interface}: network {network_name}: {error_message},2
34,{action} from {mac_address} via {interface}: network {network_name}: {error_message},2
35,DHCPREQUEST for {ip} ({ip}) from {mac} via {interface}: {message},2
36,[ib_sm_sweep.c:{line_number}]: {message},17
37,RRD_update ({path}): illegal attempt to update using time {timestamp} when last update time is {timestamp} (minimum one second step),11
38,kernel time sync disabled {code},1
39,time reset {offset} s,1
40,Received SNMP packet(s) from {source},1
41,kernel time sync enabled {status},1
42,({user}) CMD ({command} {argument}),2
43,(root) CMD ({command} {argument}),1
44,(root) CMD ({command} c),1
45,(root) CMD ({path} {arg}),1
