,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{${placeholder} token=Token{${placeholder} ActivityRecord{${placeholder} u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= ${placeholder}, startingDisplayed = ${placeholder}, startingMoved = ${placeholder}, isRelaunching = ${placeholder}",1
1,"acquire lock={lock}, flags={flags}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",26
2,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj},userId={userId}",116
3,Skipping AppWindowToken{${token} ActivityRecord{${activityRecord} ${packageName}/${activityName} t${taskId}}} -- going to hide,2
4,visible is {variable},3
5,mVisiblity.getValue is {boolean},4
6,visible is system.call.count gt {count},1
7,visible is system.message.count gt {number},1
8,{} is {},1
9,"release:lock={lock}, flg={flag}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",1
10,"updateClipping isOverlap:{}, getTopPadding={}, Translation={}",52
11,updateDimmedActivatedHideSensitive overlap:{overlap},65
12,getRunningAppProcesses: caller {caller} does not hold {permission}; limiting output,25
13,"release:lock={lock}, flg={flg}, tag=""{tag}"", name=""{name}"", ws={ws}, uid={uid}, pid={pid}",15
14,"setSystemUiVisibility vis={vis} mask={mask} oldVal={oldVal} newVal={newVal} diff={diff} fullscreenStackVis={fullscreenStackVis} dockedStackVis={dockedStackVis}, fullscreenStackBounds={fullscreenStackBounds}, dockedStackBounds={dockedStackBounds}",200
15,{}Autohide,38
16,"notifyUiVisibilityChanged:vis={vis}, SystemUiVisibility={SystemUiVisibility}",19
17,Destroying surface Surface(name={name}) called by {caller}:942 {method1}:3407 {method2}:225 {method3}:398 {method4}:136 {method5}:565 <bottom of call stack> <bottom of call stack>,1
18,Destroying surface Surface(name={name}) called by {caller},21
19,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",10
20,"userActivityNoUpdateLocked: eventTime={eventTime}, event={event}, flags={flags}, uid={uid}",69
21,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj}userId={userId}",83
22,"orientation change is complete, call {function}",1
23,Screen frozen for {duration} due to {window},1
24,startAnimation {action},1
25,startAnimation {variable} end,1
26,remove(PendingIntent{${placeholder}: PendingIntentRecord{${placeholder} ${placeholder} ${placeholder}}} changed bounds; rebatching),1
27,"rotationForOrientationLw(orient={orient}, last={last}); user={user} {message}",3
28,"Application requested orientation {orientation}, got rotation {rotation} which has compatible metrics",3
29,shouldBlockLocation running ...,37
30,shouldBlockLocation ret:{},37
31,getNeighboringCellInfo calling app is {app},5
32,"Releasing suspend blocker ""{blocker}"".",33
33,HBM brightnessIn ={brightness},85
34,HBM brightnessOut ={brightness},85
35,"Animating brightness: target={target}, rate={rate}",85
36,interceptKeyTq keycode={keycode} interactive={interactive} keyguardActive={keyguardActive} policyFlags={policyFlags} down {down} canceled {canceled},14
37,"interceptKeyBeforeQueueing: key {key} , result : {result}",14
38,{}SuspendedAutohide,10
39,query{Variable}Enabled...,17
40,"Acquiring suspend blocker ""{blocker}"".",33
41,Skipping AppWindowToken{<placeholder> token=Token{<placeholder> ActivityRecord{<placeholder>}}} -- going to hide,2
42,Bad activity token: {token},1
43,java.lang.ClassCastException: {var1} cannot be cast to {var2},1
44,"onTouchEvent::{arg1}, x={arg2}, y={arg3}",2
45,schedule{action},1
46,get{Variable}Player...,2
47,disable: < expand {ICONS}* alerts {SYSTEM_INFO}* back home recent clock navigationbar search quick_settings >,3
48,"updateLightsLocked,mInCall ={mInCall},mScreenOn = {mScreenOn},ledNotification == {ledNotification}",6
49,"updateLightsLocked,turn off {variable}",6
50,"overlapAmount:{}, previousNotificationEnd:{}, newYTranslation:{}, location:{}, i:{}, getTopPadding:{}, getLocationOnScreen():{}",13
51,"state.clipTopAmount:{clipTopAmount}, i:{i}",13
52,"updateClipping isOverlap:{bool}, getTopPadding={float}, Translation={float}",13
53,getRunningAppProcesses: caller {caller} does not hold {permission}; {message},56
54,on{Event}Started,2
55,on{TrackingType}Started,1
56,cancelPeek: {},20
57,"flingToHeight: vel={vel}, expand={expand}, target={target}, collapseSpeedUpFactor={collapseSpeedUpFactor}, expandBecauseOfFalsing={expandBecauseOfFalsing}",2
58,onTrackingStopped: {},1
59,on{action}Finished,2
60,Sending non-protected broadcast {broadcast_type} from system {system_id}:{system_name} pkg {package_name},2
61,logNotificationVisibilityChanges {action} start,6
62,onNotificationVisibilityChanged called,6
63,logNotificationVisibilityChanges {action1} {action2} {action3},5
64,isSimPinSecure mSimDatas is {null or empty},1
65,registerCallback not in {context}.,3
66,android.util.AndroidRuntimeException: Must execute in UI,3
67,*** register callback for {component},1
68,*** unregister callback for {variable},1
69,[PhoneIntfMgr] getDataEnabled: subId={subId} phoneId={phoneId},1
70,[PhoneIntfMgr] getDataEnabled: subId={subId} retVal={retVal},1
71,"onInterceptTouchEvent MotionEvent { action={action}, actionButton={actionButton}, id[0]={id}, x[0]={x}, y[0]={y}, toolType[0]={toolType}, buttonState={buttonState}, metaState={metaState}, flags={flags}, edgeFlags={edgeFlags}, pointerCount={pointerCount}, historySize={historySize}, eventTime={eventTime}, downTime={downTime}, deviceId={deviceId}, source={source} }, mBlockTouches={mBlockTouches}",2
72,"onInterceptTouchEvent MotionEvent { action={action}, actionButton={actionButton}, id[0]={id[0]}, x[0]={x[0]}, y[0]={y[0]}, toolType[0]={toolType[0]}, buttonState={buttonState}, metaState={metaState}, flags={flags}, edgeFlags={edgeFlags}, pointerCount={pointerCount}, historySize={historySize}, eventTime={eventTime}, downTime={downTime}, deviceId={deviceId}, source={source} }, mBlockTouches={mBlockTouches}",1
73,playSoundEffect effectType: {effectType},10
74,"animateCollapsePanels:flags={flags}, force={force}, delayed={delayed}, mExpandedVisible={mExpandedVisible}",8
75,logNotificationVisibilityChanges {variable1} {variable2} {variable3},1
76,START u0 {act=___ flg=___ cmp=___ (has extras)} from uid ___ on display ___,1
77,"ActivityRecord info: ActivityInfo{{packageName} {activityName}}, euid: {euid}",2
78,on{Event}Click called,1
79,"cancelNotification,index:{index}",23
80,"cancelNotification,cancelNotificationLocked,callingUid = {callingUid},callingPid = {callingPid}",2
81,"cancelNotificationLocked called,tell the app,reason = {reason}",2
82,cancelNotificationLocked:{int}|{str}|{int}|{null}|{int},2
83,"cancelNotificationLocked,remove ={packageName}",2
84,applyOptionsLocked: Unknown animationType={animationType},2
85,"Taking screenshot from Surface with crop:[{Rect}], width:[{int}], height:[{int}], minLayer:[{int}], maxLayer:[{int}], inRotation:[{bool}], rot:[{int}]",1
86,removeNotification:{int}|{str}|{int}|{null}|{int},2
87,"updateNotificationShade: total={total}, active={active}",13
88,The {noun} in {noun} caused us to need to do a {noun} {noun},5
89,The {noun} caused us to need to do a {verb} {noun},7
90,setLightsOn({boolean}),181
91,{}NotificationChildren,12
92,"Skipping, withExcluded: {boolean}, tr.intent:{intent}",63
93,"getRecentTasks: num={num},flags={flags},totalTasks={totalTasks}",14
94,getRecentTasks: topActivity=ComponentInfo{}/{},13
95,"cancelNotificationWithTag pid {pid},uid = {uid},tag = {tag},pkg ={pkg},id ={id}",20
96,makeExpandedInvisible: mExpandedVisible={},4
97,closeQs,12
98,instant{action},9
99,disable: <{modules}>,3
100,*** unregister callback for {component},1
101,getTasks: caller {caller} does not hold {permission}; limiting output,37
102,is{VariableName}Active...,12
103,"Start dump, calling from : pid={pid}, uid={uid}",1
