,EventTemplate,Occurrences
0,instruction cache {error_type} corrected,42
1,{number} double-hummer alignment exceptions,94
2,"CE sym {symbol}, at {address}, mask {mask}",12
3,ciod: failed to read message prefix on control stream (CioStream socket to {ip}:{port},3
4,"CE sym {int}, at {hex}, mask {hex}",45
5,generating core.{core_id},377
6,generating core.{id},196
7,generating core.{version},27
8,force load/store alignment...............{},2
9,generating core.{process_id},75
10,generating core.{core_number},11
11,ciod: cpu {cpu_num} at treeaddr {tree_addr} sent unrecognized message {message},1
12,generating core.{year},7
13,generating core.{core_version},2
14,ciod: LOGIN chdir({directory}) failed: {error},15
15,"1 ddr errors(s) detected and corrected on rank {rank}, symbol {symbol}, bit {bit}",12
16,generating core.{port},3
17,data {variable1} error interrupt,59
18,data {var1} error interrupt,1
19,ciod: Message code {code} is not {value1} or {value2},1
20,data {noun} {noun},30
21,instruction address: {address},21
22,data address: {address},8
23,machine check: {error_type}......................{error_code},5
24,program interrupt: {cause}......{code},5
25,exception syndrome register: {register},6
26,data store interrupt caused by {variable},4
27,program interrupt: {reason}...{code},5
28,program interrupt: {cause} instruction.........{code},1
29,program interrupt: {reason}......{code},8
30,store operation.............................{},2
31,machine state register: {state},4
32,data store interrupt caused by {source}.........{code},5
33,"problem state (0=sup,1=usr).......{}",3
34,floating point instr. enabled.....{var},4
35,auxiliary processor.........................{},5
36,machine check enable..............{0},2
37,floating pt ex mode {mode} enable......{value},5
38,program interrupt: {reason}..{code},2
39,debug interrupt enable............{0},1
40,{} ordering exception.....................{},2
41,data address space................{variable},5
42,core configuration register: {register_value},7
43,program interrupt: {variable1} {variable2} update.............{variable3},1
44,guaranteed instruction cache block touch.{index},2
45,program interrupt: {variable} cr field .............{variable},4
46,guaranteed data cache block touch........{integer},1
47,icache prefetch depth....................{depth},1
48,icache prefetch threshold................{threshold},2
49,wait state enable.................{},1
50,critical input interrupt enable...{variable},1
51,special purpose registers:,1
52,lr:{lr} cr:{cr} xer:{xer} ctr:{ctr},1
53,rts internal error,1
54,debug wait {action}.................{value},2
55,instruction address space.........{variable},1
56,disable store gathering..................{},3
57,total of {count} ddr error(s) detected and corrected,13
58,ciod: Error loading {file_path}: {error_message},49
59,ciod: Error creating node map from file {file_path}: {error_message},1
60,"CE sym {sym}, at {address}, mask {mask}",17
61,"CE sym {num1}, at {hex1}, mask {hex2}",6
62,generating core.{var},7
63,generating core.{variable},7
64,generating core.{number},7
65,program {status},3
66,data store interrupt caused by {variable}.........{variable},1
67,Node {card} is not fully functional,6
68,{count} double-hummer alignment exceptions,2
69,ciod: Error creating node map from file {file_path}: Bad file descriptor,1
70,Ido chip status changed: {chip_id} ip={ip_address} v={version} t={type} status={status} {timestamp},5
71,Can not get assembly information for node {node},6
72,generating core.{status_code},1
73,ciod: Missing or invalid fields on line {line_number} of node map file {file_path},2
74,1 torus receiver {direction} input pipe error(s) (dcr {code}) detected and corrected,3
75,ciod: duplicate canonical-rank {rank1} to logical-rank {rank2} mapping at line {line} of node map file {file},1
76,ciod: Error creating node map from file {file_path}: Block device required,1
77,{timestamp} double-hummer alignment exceptions,8
78,rts panic! - stopping execution,2
79,{timestamp} {event} alignment exceptions,2
80,ciod: Error creating node map from file {file_path}: Permission denied,1
81,ciod: Z coordinate {z_coord} exceeds physical dimension {phys_dim} at line {line_num} of node map file {file_path},1
82,"rts: kernel terminated for reason {reason}rts: bad message header: invalid cpu, type={type}, cpu={cpu}, index={index}, total={total}",1
83,{number} floating point alignment exceptions,100
84,{integer} floating point alignment exceptions,6
85,{count} floating point alignment exceptions,14
86,"CE sym {num1}, at {hex}, mask {hex2}",4
87,generating core.{pid},1
88,New ido chip inserted into the database: {ido_chip} ip={ip_address} v={version} t={type},3
89,{} is not fully functional,1
90,"Node card status: {alert_0}, {alert_1}, {alert_2}, {alert_3} is (are) active. Clock Mode is {clock_mode}. Clock Select is {clock_select}. Phy JTAG Reset is {phy_jtag_reset}. ASIC JTAG Reset is {asic_jtag_reset}. Temperature Mask is {temperature_mask}. {temperature_error}. Temperature Limit Error Latch is {temperature_limit_error_latch}. PGOOD is {pgood}. PGOOD error latch is {pgood_error_latch}. MPGOOD is {mpgood}. MPGOOD error latch is {mpgood_error_latch}. The 2.5 volt rail is {volt_2_5}. The 1.5 volt rail is {volt_1_5}.",1
91,"Node card VPD check: {node} node in processor card slot {slot} do not match. VPD ecid {ecid}, found {found}",9
92,idoproxydb hit ASSERT condition: ASSERT expression={expression} Source file={source_file} Source line={source_line} Function={function},35
93,Node card status: no ALERTs are active. Clock Mode is {Clock Mode}. Clock Select is {Clock Select}. Phy JTAG Reset is {Phy JTAG Reset}. ASIC JTAG Reset is {ASIC JTAG Reset}. Temperature Mask is {Temperature Mask}. {Temperature Error}. Temperature Limit Error Latch is {Temperature Limit Error Latch}. PGOOD IS {PGOOD}. PGOOD ERROR LATCH IS {PGOOD ERROR LATCH}. MPGOOD IS {MPGOOD}. MPGOOD ERROR LATCH IS {MPGOOD ERROR LATCH}. The 2.5 volt rail is {2.5 volt rail}. The 1.5 volt rail is {1.5 volt rail}.,5
94,"CE sym {int1}, at {hex1}, mask {hex2}",5
95,"PrepareForService shutting down NodeCard(mLctn({}), mCardSernum({}), mLp({}), mIp({}), mType({})) as part of Service Action 310",1
