,EventTemplate,Occurrences
0,Created MRAppMaster for application {application},1
1,Executing with tokens:,1
2,"Kind: {kind}, Service: {service}, Ident: (appAttemptId { application_id { id: {id} cluster_timestamp: {timestamp} } attemptId: {attemptId} } keyId: {keyId})",1
3,Using mapred {committerType}.,1
4,OutputCommitter set in config {config},1
5,OutputCommitter is {committer},1
6,Registering class {class1} for class {class2},9
7,Default file system [{filesystem}],3
8,Emitting job history data to the timeline server is not enabled,1
9,loaded properties from {file},1
10,Scheduled snapshot period at {time} second(s).,1
11,{} metrics system started,1
12,Adding job token for {job_id} to jobTokenSecretManager,1
13,Not uberizing {job_id} because: {reason}; {reason}; {reason};,1
14,Input size for job {job_id} = {input_size}. Number of splits = {num_splits},1
15,Number of reduces for job {job_id} = {num_reduces},1
16,job_{job_id}Job Transitioned from {prev_state} to {new_state},3
17,"MRAppMaster launching {mode}, {uberization}, {container} job {job_id}.",1
18,Using callQueue class {},2
19,Starting Socket Reader #{number} for port {port},2
20,Adding protocol {protocol} to the server,1
21,Instantiated MRClientService at {hostname}/{ip}:{port},1
22,IPC Server Responder: {status},2
23,IPC Server listener on {port}: {status},2
24,Logging to {logger} via {log},1
25,Http request log for {service} is not defined,1
26,Added global filter '{filter_name}' (class={filter_class}),1
27,Added filter {FILTER_NAME} (class={FILTER_CLASS}) to context {CONTEXT_NAME},1
28,Added filter {FILTER_NAME} (class={FILTER_CLASS}) to context {CONTEXT},1
29,adding path spec: {path},1
30,adding path spec: {},1
31,Jetty bound to port {port},1
32,jetty-{version},1
33,Extract jar:{path}!/webapps/{app_name} to {destination},1
34,Started HttpServer2$SelectChannelConnectorWithSafeStartup@{host}:{port},1
35,Web app /mapreduce started at {time},1
36,Registered webapp {module_type} modules,1
37,JOB_CREATE {job_id},1
38,nodeBlacklistingEnabled:{},1
39,maxTaskFailuresPerNode is {value},1
40,blacklistDisablePercent is {value},1
41,Connecting to ResourceManager at {hostname}/{ip_address}:{port},1
42,"maxContainerCapability: <memory:{memory}, vCores:{vCores}>",1
43,queue: {queue_name},1
44,Upper limit on the thread pool size is {limit},1
45,yarn.client.max-cached-nodemanagers-proxies : {value},1
46,Processing the event EventType: {eventType},3
47,Resolved {hostname} to {ip_address},37
48,task_{timestamp}_{task_id}_{attempt}_m_{task_attempt} Task Transitioned from {old_state} to {new_state},13
49,task_{timestamp}_{id}_m_{attempt} Task Transitioned from {old_state} to {new_state},1
50,task_{timestamp}_{task_id}_{attempt}_m_{task_type} Task Transitioned from {old_state} to {new_state},2
