,EventTemplate,Occurrences
0,onStandStepChanged {step},254
1,onExtend:{timestamp} {int1} {int2} {int3},3
2,onReceive action: {action},34
3,processHandleBroadcastAction action:{action},161
4,flush sensor data,17
5,getTodayTotalDetailSteps = {timestamp}##{var1}##{var2}##{var3}##{var4}##{var5},111
6,setTodayTotalDetailSteps={timestamp}##{var1}##{var2}##{var3}##{var4}##{var5},212
7,calculateCaloriesWithCache totalCalories={totalCalories},241
8,calculateAltitudeWithCache totalAltitude={totalAltitude},241
9,REPORT : {var1} {var2} {var3} {var4},131
10,onExtend:{timestamp} {value1} {value2} {value3},158
11,onExtend:{timestamp} {number1} {number2} {number3},112
12,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5},98
13,isScreenOn {boolean},1
14,"screen status {status},think screen {action}",1
15,onStandStepChanged {int},6
16,REPORT : {int} {int} {int} {int},5
17,flushTempCacheToDB by {variable},1
18,Alarm uploadStaticsToDB totalSteps={totalSteps} Calories:{calories} Floor:{floor} Distance:{distance},1
19,writeDataToDB size {size},1
20,upLoadOneMinuteDataToEngine time={time},5
21,getBinderPackageName packageName = {packageName},8
22,"getAppContext() isAppValid {string} or {string}, packageName = {string}",2
23,insertHiHealthData() checkAppType {0} appID = {1},1
24,"insertHiHealthData() size = {size},app = {app},One Data Type = {dataType},packageName = {packageName},writeStatType = {writeStatType}",2
25,"saveHealthDetailData() deviceID = {deviceID},clientID={clientID},id={id}",2
26,"saveStatData() type ={type},time = {time},statClient = {statClient},who is {who}",4
27,"new date ={date}, type={type},{value},old={old}",13
28,"saveHealthDetailData() saveOneDetailData fail hiHealthData = {hiHealthData},type = {type}",2
29,"bulkSaveDetailHiHealthData() size = {size},totalTime = {totalTime}",2
30,startListenerChange subscribeList = [{subscribeList}],2
31,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = {errorCode},errorMessage = {errorMessage}",1
32,insertHiHealthData() end totalTime = {totalTime},2
33,uploadStaticsToDB() onResult type = {type} obj={obj},1
34,uploadStaticsToDB failed message={},1
35,checkInsertStatus stepSum or calorieSum is enough,2
36,checkInsertStatus {stepOrCalorie} is enough,2
37,"stepSyncOrNot appSynTimes is {appSynTimes}, statsyncTimes is {statsyncTimes}",2
38,"startInsertSportSync start auto sync,app is {app}",2
39,"checkFirstSyncByType no such data in db ,type is {type} deviceCode is {deviceCode}",2
40,"startInsertSportSync first {int} steps sync,{string} all sync",2
41,"startSync hiSyncOption = HiSyncOption{syncAction=?, syncMethod=?, syncScope=?, syncDataType=?, syncModel=?, pushAction=?},app = ? who = ?",5
42,insertHiHealthData() checkAppType {int} appID = {int},1
43,needAutoSync {autoSyncSwitch} is {status},5
44,"initDataPrivacy the {variable1} switch is {variable2}, start push health data!",5
45,initDataPrivacy the dataPrivacy is {boolean},5
