,EventTemplate,Occurrences
0,Cocoa scripting error for '<*>': <*>.,71
1,AppleCamIn::systemWakeCall - messageType = <*>,56
2,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",45
3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
4,Thermal pressure state: <*> Memory pressure state: <*>,39
5,Location icon should now be in state '<*>',37
6,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
7,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",32
8,Sandbox: <*>(<*>) <*>(<*>) <*> <*>,30
9,com.apple.Addres(<*>) deny <*> <*>,29
10,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",29
11,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[<*>],28
12,ARPT: <*>: <*>: MDNS: IPV6 Addr: <*>,28
13,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
14,"CCFile::captureLogRun Skipping current file Dir file <*>, Current File <*>",25
15,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",24
16,<*>::<*> - <*> - took <*> milliseconds,22
17,"CCFile::captureLog Received Capture notice id: <*>, reason = <*>",20
18,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,20
19,button report: <*>,20
20,-[<*> <*>] <*>,20
21,"com.apple.suggestions.harvest: <*> told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",19
22,"CCFile::copyFile fileName is <*>, source path:<*>, dest path:<*>",19
23,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - <*>,18
24,FA||Url||taskID[<*>] dealloc,17
25,<*>::<*>,17
26,CCFile::<*>,17
27,ARPT: <*>: AirPort_Brcm43xx::powerChange: <*>,17
28,__[Number]-[String observeValueForKeyPath:String ofObject:AnyObject change:[Dictionary] context:AnyObject]_block_invoke [String] [String] [Number],16
29,<*>::captureLogRun() Exiting <*>::captureLogRun,16
30,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] <*>.,16
31,en0: BSSID changed to <*>,16
32,"ARPT: <*>: IOPMPowerSource Information: <*>, SleepType: <*>, 'ExternalConnected': <*>, 'TimeRemaining': <*>,",15
33,IO80211AWDLPeerManager::setAwdlAutoMode <*> AWDL,15
34,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,15
35,Previous sleep cause: <*>,15
36,<*>::prePCIWake - power up complete - took <*> us,15
37,"Path not allowed in target domain: type = <*>, path = <*> error = <*>: <*>, origin = <*>",15
38,Received <*> Event,15
39,<*>::handleWakeEvent_gated,15
40,<*>: channel changed to <*>,14
41,KeychainGetICDPStatus: keychain: <*>,14
42,AirPort: Link Up on <*>,13
43,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=<*> when=<*> confidence=<*> from=(<*>)/(<*>) (UABestAppSuggestionManager.m #<*>),13
44,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> <*>,13
45,Error returned from iconservicesagent: <*>,13
46,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[<*>],12
47,AirPort: Link Down on <*>. Reason <*> (<*>).,12
48,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""<*>"" UserInfo={{NSDescription=<*>}}",12
49,Captive: <*> <*>: <*>,12
50,"USBMSC Identifier (non-unique): <*> <*> <*> <*>, <*>",12
51,[<*>] <<<< <*> >>>> <*>: <*>,12
52,ARPT: <*>: ARPT: Wake Reason: <*>,11
53,"PM response took <*> ms (<*>, <*>)",11
54,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(<*>)",11
55,<*>::waitForOk2Go2Sx - retries = <*>,11
56,"ARPT: <*>: <*>: setup_keepalive: interval <*>, retry_interval <*>, retry_count <*>",11
57,RTC: <*> setting ignored,11
58,Bluetooth -- <*> is supported - <*> <*>,11
59,[<*>] FigAgglomeratorSetObjectForKey signalled err=<*> (<*>) (<*>) at <*> line <*>,11
60,ARPT: <*>: AirPort_Brcm43xx::powerChange: <*> - <*>,11
61,<*>::<*>::postMessage <*> changed,10
62,############################## <*>,10
63,jemmytest,10
64,"ARPT: <*>: <*>: MDNS: <*> SRV Recs, <*> TXT Recs",9
65,-[<*> <*>] using process name <*> as bundle ID (this is expected for daemons without bundle ID,9
66,Wake reason: <*> (<*>),9
67,ASL Sender Statistics,9
68,in6_unlink_ifa: IPv6 address <*> has no prefix,9
69,"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>",9
70,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry <*> any previous subscriptions,9
71,"com.apple.SoftwareUpdate.Activity: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",9
72,"ARPT: <*>: <*>: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*>, Ack <*>, Win size <*>",8
73,"ARPT: <*>: <*>: setup_keepalive: Local port: <*>, Remote port: <*>",8
74,Unrecognized attribute value: t:<*>,8
75,<*> : BTLE scanner Powered On,8
76,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: <*> (<*>),8
77,"ARPT: <*>: <*>: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>",8
78,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>,8
79,[<*>] [<*>],8
80,YYYY-MM-DD HH:MM:SS.sss <*>[<*>/<*>] [lvl=<*>] <*>() <*>,8
81,[<*>] <*> signalled err=<*> (<*>) (<*>) at <*> line <*>,8
82,ARPT: <*>: framerdy <*> bmccmd <*> framecnt <*>,8
