,EventTemplate,Occurrences
0,"IP_ADDRESS ""HTTP_METHOD /v2/UUID/servers/detail HTTP/VERSION"" status: STATUS_CODE len: RESPONSE_LENGTH time: RESPONSE_TIME",165
1,"IP_ADDRESS ""HTTP_METHOD /v2/RESOURCE_PATH HTTP/PROTOCOL"" status: STATUS_CODE len: RESPONSE_LENGTH time: RESPONSE_TIME",362
2,[instance: {instance_id}] VM Started (Lifecycle Event),22
3,[instance: {instance_id}] VM Paused (Lifecycle Event),22
4,[instance: {instance_id}] During sync_power_state the instance has a pending task ({task}). Skip.,43
5,image {image_id} at ({file_path}): checking,81
6,"image {image_id} at ({file_path}): in use: on this node {local_count} local, {other_count} on other nodes sharing this instance storage",81
7,Active base files: {file_path},82
8,"IP_ADDRESS ""HTTP_METHOD /v2/RESOURCE_PATH HTTP/VERSION"" status: STATUS_CODE len: RESPONSE_LENGTH time: RESPONSE_TIME",170
9,Creating event {event_name}:{event_id} for instance {instance_id},10
10,"{} ""{} {} HTTP/1.1"" status: {} len: {} time: {}",43
11,[instance: {instance_id}] VM Resumed (Lifecycle Event),44
12,[instance: {instance_id}] Instance spawned successfully.,22
13,[instance: {instance_id}] Took {time} seconds to spawn the instance on the hypervisor.,22
14,[instance: {instance_id}] Took {time} seconds to build instance.,22
15,Auditing locally available compute resources for node {node_name},15
16,"Total usable vcpus: {usable_vcpus}, total allocated vcpus: {allocated_vcpus}",15
17,Final resource view: name={name} phys_ram={phys_ram} used_ram={used_ram} phys_disk={phys_disk} used_disk={used_disk} total_vcpus={total_vcpus} used_vcpus={used_vcpus} pci_stats={pci_stats},15
18,Compute_service record updated for {hostname}:{hostname},15
19,"{},{} ""GET {} HTTP/1.1"" status: {} len: {} time: {}",208
20,"IP_ADDRESS ""{HTTP_METHOD} {ENDPOINT} HTTP/1.1"" status: {STATUS_CODE} len: {RESPONSE_LENGTH} time: {RESPONSE_TIME}",18
21,[instance: {instance_id}] Terminating instance,22
22,[instance: {instance_id}] Instance destroyed successfully.,22
23,[instance: {instance_id}] Deleting instance files {file_path},21
24,[instance: {instance_id}] Deletion of {file_path} complete,17
25,[instance: {instance_id}] Took {time} seconds to destroy the instance on the hypervisor.,21
26,[instance: {instance_id}] Took {time} seconds to deallocate network for instance.,21
27,Unknown base file: {file_path},30
28,Removable base files: {file_path},30
29,Removing base or swap file: {file_path},21
30,HTTP exception thrown: {reason},21
31,"IP_ADDRESS ""HTTP_METHOD /v2/RESOURCE HTTP/VERSION"" status: STATUS_CODE len: CONTENT_LENGTH time: TIME",8
32,"[instance: {instance_id}] Attempting claim: memory {memory} MB, disk {disk} GB, vcpus {vcpus} CPU",21
33,"[instance: {instance_id}] Total memory: {total_memory} MB, used: {used_memory} MB",21
34,"[instance: {instance_id}] memory limit: {memory_limit} MB, free: {free_memory} MB",14
35,"[instance: {instance_id}] Total disk: {total_disk} GB, used: {used_disk} GB",20
36,"[instance: {instance_id}] disk limit not specified, defaulting to unlimited",21
37,"[instance: {instance_id}] Total vcpu: {total_vcpu} VCPU, used: {used_vcpu} VCPU",21
38,"[instance: {instance_id}] vcpu limit not specified, defaulting to unlimited",21
39,[instance: {instance_id}] Claim successful,21
40,"IP_ADDRESS ""HTTP_METHOD /v2/UUID/servers/UUID HTTP/VERSION"" status: STATUS_CODE len: RESPONSE_LENGTH time: RESPONSE_TIME",15
41,[instance: {instance_id}] Creating image,19
42,[instance: {instance_id}] VM {status} (Lifecycle Event),7
43,"IP_ADDRESS ""HTTP_METHOD /v2/UUID/servers/detail PROTOCOL"" status: STATUS_CODE len: RESPONSE_LENGTH time: RESPONSE_TIME",4
44,Creating event {event_name} for instance {instance_id},2
45,Successfully synced instances from host '{host}'.,2
46,"{ip_address} ""{http_method} {endpoint} HTTP/1.1"" status: {status_code} len: {content_length} time: {response_time}",3
47,Running instance usage audit for host {hostname} from {start_time} to {end_time}. {num_instances} instances.,1
48,[instance: {instance_id}] VM Stopped (Lifecycle Event),9
49,Creating event {event}: {id} for instance {instance},1
50,"image {uuid} at ({path}): in use: on this node {local_count} local, {other_count} on other nodes sharing this instance storage",1
51,Base or swap file too young to remove: {file_path},9
52,"[instance: {instance_id}] memory limit: {memory_limit} MB, free: {memory_free} MB",7
53,[instance: {instance_id}] {message},2
54,Creating event network-vif-plugged:{network_id} for instance {instance_id},3
55,[instance: {instance_id}] Deletion of {file_path}_del complete,4
56,"IP_ADDRESS ""HTTP_METHOD /v2/RESOURCE HTTP/VERSION"" status: STATUS_CODE len: CONTENT_LENGTH time: RESPONSE_TIME",5
57,[instance: {instance_id}] VM {status} ({event_type}),1
58,Creating event network-vif-plugged:{vif_id} for instance {instance_id},1
59,"IP_ADDRESS ""HTTP_METHOD /v2/RESOURCE HTTP/VERSION"" status: STATUS_CODE len: RESPONSE_LENGTH time: RESPONSE_TIME",7
