,EventTemplate,Occurrences
0,"IP_ADDRESS ""HTTP_METHOD <*> HTTP/PROTOCOL"" status: STATUS_CODE len: RESPONSE_LENGTH time: RESPONSE_TIME",362
1,"IP_ADDRESS ""HTTP_METHOD <*> HTTP/VERSION"" status: STATUS_CODE len: RESPONSE_LENGTH time: RESPONSE_TIME",358
2,"<*>,<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",208
3,image <*> at (<*>): checking,82
4,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",82
5,Active base files: <*>,82
6,"<*> ""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",48
7,[instance: <*>] VM Resumed (Lifecycle Event),44
8,[instance: <*>] During sync_power_state the instance has a pending task (<*>). Skip.,43
9,Unknown base file: <*>,30
10,Removable base files: <*>,30
11,[instance: <*>] VM Started (Lifecycle Event),22
12,[instance: <*>] VM Paused (Lifecycle Event),22
13,[instance: <*>] Instance spawned successfully.,22
14,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,22
15,[instance: <*>] Took <*> seconds to build instance.,22
16,[instance: <*>] Terminating instance,22
17,[instance: <*>] Instance destroyed successfully.,22
18,[instance: <*>] Deleting instance files <*>,21
19,[instance: <*>] Deletion of <*> complete,21
20,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,21
21,[instance: <*>] Took <*> seconds to deallocate network for instance.,21
22,Removing base or swap file: <*>,21
23,HTTP exception thrown: <*>,21
24,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",21
25,"[instance: <*>] Total memory: <*> MB, used: <*> MB",21
26,"[instance: <*>] memory limit: <*> MB, free: <*> MB",21
27,"[instance: <*>] disk limit not specified, defaulting to unlimited",21
28,"[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",21
29,"[instance: <*>] vcpu limit not specified, defaulting to unlimited",21
30,[instance: <*>] Claim successful,21
31,"[instance: <*>] Total disk: <*> GB, used: <*> GB",20
32,[instance: <*>] Creating image,19
33,"IP_ADDRESS ""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",18
34,Auditing locally available compute resources for node <*>,15
35,"Total usable vcpus: <*>, total allocated vcpus: <*>",15
36,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=<*>,15
37,Compute_service record updated for <*>,15
38,Creating event <*> for instance <*>,13
39,[instance: <*>] VM Stopped (Lifecycle Event),9
40,Base or swap file too young to remove: <*>,9
41,"IP_ADDRESS ""HTTP_METHOD <*> HTTP/VERSION"" status: STATUS_CODE len: CONTENT_LENGTH time: TIME",8
42,Creating event network-vif-plugged:<*> for instance <*>,8
43,[instance: <*>] VM <*> (Lifecycle Event),7
44,"IP_ADDRESS ""HTTP_METHOD <*> HTTP/VERSION"" status: STATUS_CODE len: CONTENT_LENGTH time: RESPONSE_TIME",5
45,[instance: <*>] VM <*> (<*>),5
46,The instance sync for host '<*>' did not match. Re-created its InstanceList.,5
47,"IP_ADDRESS ""HTTP_METHOD <*> PROTOCOL"" status: STATUS_CODE len: RESPONSE_LENGTH time: RESPONSE_TIME",4
48,"IP_ADDRESS ""HTTP_METHOD <*> HTTP/VERSION"" status: STATUS_CODE len: RESPONSE_SIZE time: RESPONSE_TIME",3
49,Successfully synced instances from host '<*>'.,2
50,[instance: <*>] <*>,2
51,Running instance usage audit for host <*> from <*> to <*>. <*> instances.,1
52,Creating event <*>: <*> for instance <*>,1
53,"IP_ADDRESS ""HTTP_METHOD <*>=<*>&changes-since=<*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",1
54,"<*> ""<*> <*>"" status: <*> len: <*> time: <*>",1
55,"[instance: <*>] Total disk: <*>, used: <*>",1
56,"IP_ADDRESS ""HTTP_METHOD <*> HTTP/1.<*>"" status: STATUS_CODE len: RESPONSE_LENGTH time: RESPONSE_TIME",1
57,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",1
