,EventTemplate,Occurrences
0,proxy.cse.cuhk.edu.hk:{port} open through proxy {proxy_address}:{proxy_port} {protocol},457
1,"proxy.cse.cuhk.edu.hk:5070 {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",82
2,"proxy.cse.cuhk.edu.hk:5070 {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime}>",35
3,"proxy.cse.cuhk.edu.hk:5070 {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size_received}) received, lifetime <{lifetime}>",3
4,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent} bytes sent, {received} bytes ({size}) received, lifetime <{time}>",17
5,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} sent, {received_bytes} received, lifetime {lifetime}",56
6,"proxy.cse.cuhk.edu.hk:5070 {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec>",12
7,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",2
8,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime}>",16
9,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent} bytes sent, {received} bytes ({size}) received, lifetime {time}",30
10,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent} bytes sent, {received} bytes received, lifetime {time}",28
11,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} sent, {received_bytes} received, lifetime <{lifetime}>",30
12,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",55
13,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb}), lifetime <{lifetime}>",2
14,"proxy.cse.cuhk.edu.hk:5070 {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime <{lifetime} sec>",1
15,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",48
16,"proxy.cse.cuhk.edu.hk:5070 {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size_received}) received, lifetime {lifetime}",1
17,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime}>",5
18,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent} bytes sent, {received} bytes received, lifetime <{time}>",17
19,{ip_address}:{port} open through proxy {proxy_type}://{proxy_address}:{proxy_port} {protocol},2
20,"get.sogou.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec>",6
21,"tcpconn.{host}:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>",1
22,tcpconn{num}.tencent.com:{port} {status} : {message},1
23,tcpconn{host}:{port} error : {error_message},1
24,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
25,"{} close, {} bytes ({}), {} bytes ({}), lifetime {}",7
26,"{ip}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
27,{ip}:{port} open through proxy {proxy} {protocol},3
28,{host}:{port} open through proxy {proxy} {protocol},27
29,"tcpconn{conn_num}.{domain}:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{lifetime}>",1
30,{IP_ADDRESS}:443 open through proxy {PROXY_ADDRESS}:5070 HTTPS,1
31,"tcpconn{num}.{domain}:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{time}>",2
32,{source_host}:{source_port} open through proxy {proxy_host}:{proxy_port} {protocol},1
33,"tcpconn{conn_num}.tencent.com:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>",1
34,"cgi.{server}:{port} close, {sent} bytes sent, {received} bytes received, lifetime <{time} sec>",1
35,{}:{} open through proxy {}:{} {},29
36,"qqmail.tencent.com:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
37,get.{domain}:{port} open through proxy {proxy} {protocol},13
38,"showxml.qq.com:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",1
39,"{}.flash2-http.qq.com:80 close, {} bytes sent, {} bytes ({}), lifetime <{} sec>",1
40, {host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},5
41,"{} close, {} bytes sent, {} bytes received, lifetime {}",5
42,oimage{server}.ydstatic.com:{port} error : {message},3
43,"formi.{domain}:{port} error : {error_message} - Proxy server cannot establish a connection with the target, status code {status_code}",1
44,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",2
45,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} sent, {received_bytes} received, lifetime {duration}",1
46,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb}), lifetime {lifetime}",4
47,{server}:{port} open through proxy {proxy} {protocol},38
48,"{ip}:443 close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
49,"{ip_address}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime {lifetime}",1
50,"{ip_address}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",2
51,"BAYMSGR{int}.gateway.messenger.live.com:{int} close, {int} bytes ({float} KB) sent, {int} bytes ({float} KB) received, lifetime {time}",1
52,"{ip_address}:443 close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",1
53,{:ip}:443 error : {:error_message} - Proxy closed the connection unexpectedly.,1
54,{} error : {}.,16
55,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",1
56,"{} close, {} bytes sent, {} bytes ({} KB) received, lifetime {}",2
57, {ip_address}:{port} {log_level} : {error_message} - {additional_info},2
58,oimagec{server}.ydstatic.com:{port} {status} : {message},2
59,oimage{server}.ydstatic.com:{port} {status} : {message},1
60,"oimageb7.ydstatic.com:80 {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size}) received, lifetime {lifetime}",1
61,oimage{var1}.ydstatic.com:{var2} error : {var3},2
62,"oimageb{server}.ydstatic.com:{port} close, {sent} bytes sent, {received} bytes ({size}) received, lifetime {time}",1
63,{host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},107
64,"hostname:port close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",1
65,"oimagec{server}.ydstatic.com:{port} close, {sent} bytes sent, {received} bytes ({size}) received, lifetime {time}",1
66,www.{domain}:{port} open through proxy {proxy_type}://{proxy_host}:{proxy_port} {protocol},5
67,c.{server}:{port} open through proxy {proxy_type}://{proxy_server}:{proxy_port} {protocol},4
68,{source}:{port} open through proxy {proxy}:{proxy_port} {protocol},9
69,"www.{domain}:80 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",3
70,"get.sogou.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",2
71,"{:host}:{:port} close, {:bytes_sent} bytes sent, {:bytes_received} bytes received, lifetime {:lifetime}",7
72,"t{server}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",3
73,"sestat.{host}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",1
74,comment.{id}.com:{port} open through proxy {proxy_host}:{proxy_port} {protocol},3
75,www.{website}:{port} open through proxy {proxy}:{proxy_port} {protocol},1
76,{host}:{port} open through proxy {proxy_type} {proxy_host}:{proxy_port} {protocol},4
77,{} open through proxy {}:{} {},25
78,"b{server}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
79,"pos.{domain}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
80,"i{server_name}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime {lifetime}",4
81,"xin.4399.cn:80 close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",1
82,"newsimg.{server}:80 close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
83,"comment.{server}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
84,"m.news.{domain}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",1
85,"www.{host}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
86,api.share.{domain}:{port} open through proxy {proxy_domain}:{proxy_port} {protocol},1
87,"{}:{} close, {} bytes ({}), sent, {} bytes ({}), received, lifetime {}",3
88,"www.googletagservices.com:443 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",1
89,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",4
90,"www.{domain}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",5
91,"{:host}:{:port} close, {:sent} bytes sent, {:received} bytes ({:size}) received, lifetime {:time}",3
92,{server}:443 open through proxy {proxy}:5070 HTTPS,3
93,"odr.mookie1.com:443 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",1
94,"safebrowsing.googleapis.com:443 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",5
95,"clients{client_number}.google.com:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",5
96,"d.dropbox.com:443 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {lifetime}",2
97,"clients{client_number}.google.com:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",13
98,"{} close, {} bytes ({}), sent, {} bytes ({}), received, lifetime {}",15
99,"odr.mookie1.com:443 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
100,"r{server}:443 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",1
101,t{server}:{port} open through proxy {proxy} {protocol},20
102,"c.{hostname}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",1
103,"t{server_name}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime {lifetime}",5
104,"{:host}:{:port} close, {:sent} bytes sent, {:received} bytes received, lifetime {:lifetime}",7
105,"pos.{server}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
106,"i{server}:80 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",3
107,"f{server}:80 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
108,"suggestion.{domain}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",2
109,"eclick.{domain}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",1
110,"cm.g.doubleclick.net:443 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
111,news.{server}:{port} open through proxy {proxy} {protocol},2
112,app.{server}:{port} open through proxy {proxy} {protocol},2
113,video.{server}:{port} open through proxy {proxy} HTTPS,2
114,www.{website}:80 open through proxy {proxy}:5070 {protocol},1
115,"cpro.baidustatic.com:443 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",2
116,"www.{website}:80 close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
117,"{} close, {} bytes sent, {} bytes received, lifetime <{} sec>",2
118,{}:{} {} : {},3
119,"app.{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
120,"www.{domain}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {duration}",4
