,EventTemplate,Occurrences
0,proxy.cse.cuhk.edu.hk:<*> open through proxy <*> <*>,457
1,<*> open through proxy <*> <*>,332
2,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes sent, <*> bytes received, lifetime <*>",162
3,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> sent, <*> received, lifetime <*>",87
4,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",64
5,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",60
6,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",60
7,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",51
8,"<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",22
9,"www.<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",20
10,"<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",20
11,"<*> close, <*> bytes (<*>), sent, <*> bytes (<*>), received, lifetime <*>",18
12,"<*>.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",17
13,<*> error : <*>.,16
14,api.<*> open through proxy <*> <*>,14
15,<*> open through proxy <*> HTTPS,13
16,get.<*> open through proxy <*> <*>,13
17,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes sent, <*> bytes received, lifetime <*> sec>",12
18,"block.dropbox.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",12
19,"api.<*> <*>, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",12
20,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,10
21,"<*> close, <*> bytes (<*>), <*> bytes (<*>), lifetime <*>",9
22,<*> open through proxy <*>: <*>,9
23,www.<*> open through proxy <*> <*>,8
24,<*> error : <*> - connection attempt failed with error <*>,8
25,"<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",7
26,"<*>.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",7
27,f-log-extension.grammarly.io:<*> open through proxy <*> HTTPS,7
28,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes sent, <*> bytes (<*>), lifetime <*>",6
29,"get.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",6
30,"client-<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",6
31,"mtalk.google.com:<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",6
32,www.<*> <*> through proxy <*> <*>,6
33,collector.<*> open through proxy <*>://<*> <*>,6
34,"www.evernote.com:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",6
35,"<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*> sec>",6
36,<*>.ydstatic.com:<*> error : <*>,5
37,www.<*> open through proxy <*>://<*> <*>,5
38,<*> open through proxy <*> <*> <*>,5
39,"www.<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",5
40,"safebrowsing.googleapis.com:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",5
41,"client-<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",5
42,long.<*> open through proxy <*> <*>,5
43,"security.ie.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",5
44,info.<*> open through proxy <*>://<*> <*>,5
45,"<*> <*>, <*> bytes sent, <*> bytes received, lifetime <*>",4
46,c.<*> open through proxy <*>://<*> <*>,4
47,"short.weixin.qq.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",4
48,"info.<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",4
49,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec",4
50,"long.open.weixin.qq.com:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",4
51,notifications.google.com:<*> open through proxy <*> <*>,4
52,"user-images.githubusercontent.com:<*> <*>, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",4
53,"d.dropbox.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",4
54,r3---<*> open through proxy <*> <*>,4
55,www.<*> error : <*> - connection attempt failed with error <*>,4
56,<*> error : <*>,3
57,<*>.ydstatic.com:<*> <*> : <*>,3
58,comment.<*>.com:<*> open through proxy <*> <*>,3
59,<*> <*> : <*>,3
60,"mtalk.google.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",3
61,"www.googleapis.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",3
62,"<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",3
63,"f-log-extension.grammarly.io:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",3
64,"<*> <*>, <*> bytes sent, <*> bytes (<*>), lifetime <*>",3
65,__host__:__port__ error : __error_message__ - Could not resolve __proxy__ error __error_code__,3
66,safebrowsing.googleapis.com:<*> open through proxy <*> HTTPS,3
67,<*>---sn-<*>.googlevideo.com:<*> open through proxy <*>:HTTPS,3
68,"get.<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",3
69,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*> sec>",2
70,<*> open through proxy <*>://<*> <*>,2
71,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> MB) received, lifetime <*>",2
72,<*> <*> : <*> - <*>,2
73,"<*>.ydstatic.com:<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",2
74,"get.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
75,"pos.<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
76,"d.dropbox.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
77,"suggestion.<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
78,news.<*> open through proxy <*> <*>,2
79,app.<*> open through proxy <*> <*>,2
80,video.<*> open through proxy <*> HTTPS,2
81,"cpro.baidustatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
82,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",2
83,"notifications.google.com:<*> <*>, <*> bytes sent, <*> bytes (<*>), lifetime <*>",2
84,"<*>.client-channel.google.com:<*> close, <*> bytes (<*>), sent, <*> bytes (<*>), received, lifetime <*>",2
85,"client-lb.dropbox.com:<*> <*>, <*> bytes sent, <*> bytes received, lifetime <*> sec>",2
86,"www.<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",2
87,config.<*> open through proxy <*>://<*> <*>,2
88,"www.google-analytics.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
89,<*>.client-channel.<*> open through proxy <*> <*>,2
90,"<*>.google.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
91,"csi.gstatic.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
92,live.<*> open through proxy <*> <*>,2
93,"<*> close, <*> bytes (<*>), sent, <*> bytes received, lifetime <*>",2
94,"www.googleapis.com:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
95,log.<*> <*> through proxy <*> <*>,2
96,"c.<*> <*>, <*> bytes sent, <*> bytes received, lifetime <*>",2
97,"play.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
98,<*> error : <*> - <*> error <*>,2
99,"mtalk.google.com:<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",2
100,www.<*> error : <*> - Could not resolve <*> error <*>,2
101,s1.bdstatic.com:<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,2
102,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,2
103,"csdnimg.cn:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
104,"<*>.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
105,"www.gstatic.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
106,"engine.adzerk.net:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
107,"ping.<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",2
108,btrace.<*> open through proxy <*> <*>,2
109,"__host__:__port__ error : __error__ - Proxy server cannot establish a connection with the target, status code __status_code__",2
110,"security.ie.sogou.com:<*> <*>, <*> bytes sent, <*> bytes received, lifetime <*>",2
111,r2---<*> open through proxy <*> <*>,2
112,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",2
113,"bolt.dropbox.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",2
114,"<*>.google.com:<*> <*>, <*> bytes sent, <*> bytes received, lifetime <*>",2
115,"<*>.google.com:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",2
116,"pv.<*>.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",2
117,<*>---sn-<*>.googlevideo.com:<*> open through proxy <*> HTTPS,2
118,<*>.ishuhui.com:<*> open through proxy <*> <*>,2
119,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*> sec>",1
120,"tcpconn.<*> <*>, <*> bytes sent, <*> bytes received, lifetime <*> sec>",1
121,<*>.tencent.com:<*> <*> : <*>,1
122,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",1
123,"<*>.tencent.com:<*> <*>, <*> bytes sent, <*> bytes received, lifetime <*> sec>",1
124,"cgi.<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",1
