,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{{token} ActivityRecord{{activityRecord} {packageName} {activityName} {taskId}}}, allDrawn= {allDrawn}, startingDisplayed =  {startingDisplayed}, startingMoved =  {startingMoved}, isRelaunching =  {isRelaunching}",1
1,"acquire lock={lock}, flags={flags}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",18
2,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj},userId={userId}",199
3,Skipping AppWindowToken{<placeholder> token=Token{<placeholder> ActivityRecord{<placeholder>}}} -- going to hide,2
4,visible is {system}.{time}.{showampm},1
5,mVisiblity.getValue is {boolean},5
6,visible is {variable},1
7,visible is system.call.count {comparison_operator} {integer_value},1
8,visible is system.message.count {comparison_operator} {integer},1
9,visible is {variable1}.show,1
10,"release:lock={lock}, flg={flg}, tag=""{tag}"", name=""{name}"", ws={ws}, uid={uid}, pid={pid}",26
11,"updateClipping isOverlap:{}, getTopPadding={}, Translation={}",31
12,updateDimmedActivatedHideSensitive overlap:{boolean},65
13,getRunningAppProcesses: caller {caller} does not hold REAL_GET_TASKS; limiting output,81
14,"setSystemUiVisibility vis={vis} mask={mask} oldVal={oldVal} newVal={newVal} diff={diff} fullscreenStackVis={fullscreenStackVis} dockedStackVis={dockedStackVis}, fullscreenStackBounds={fullscreenStackBounds}, dockedStackBounds={dockedStackBounds}",200
15,cancelAutohide,15
16,"notifyUiVisibilityChanged:vis={vis}, SystemUiVisibility={SystemUiVisibility}",19
17,Destroying surface Surface(name={name}) called by {caller}:942 {method1}:3407 {method2}:225 {method3}:398 {method4}:136 {method5}:565 <bottom of call stack> <bottom of call stack>,1
18,Destroying surface Surface(name={name}) called by {caller},24
19,"userActivityNoUpdateLocked: eventTime={eventTime}, event={event}, flags={flags}, uid={uid}",69
20,"orientation change is complete, call stopFreezingDisplayLocked",1
21,Screen frozen for {duration} due to {window},1
22,startAnimation {action},1
23,startAnimation {variable} end,1
24,remove(PendingIntent{{placeholder}: PendingIntentRecord{{placeholder} {placeholder} {placeholder}}} changed bounds; rebatching),1
25,"rotationForOrientationLw(orient={orient}, last={last}); user={user} USER_ROTATION_LOCKED",3
26,"Application requested orientation {orientation}, got rotation {rotation} which has compatible metrics",3
27,shouldBlockLocation running ...,37
28,shouldBlockLocation  ret:{boolean},37
29,getNeighboringCellInfo calling app is {app},5
30,"Releasing suspend blocker ""{placeholder}"".",33
31,HBM brightnessIn ={brightnessIn},83
32,HBM brightnessOut ={brightness},85
33,"Animating brightness: target={target}, rate={rate}",85
34,suspendAutohide,23
35,interceptKeyTq keycode={keycode} interactive={interactive} keyguardActive={keyguardActive} policyFlags={policyFlags} down {down} canceled {canceled},14
36,"interceptKeyBeforeQueueing: key {key} , result : {result}",14
37,resume{action}Autohide,10
38,querySoundEffectsEnabled...,17
39,"acquire lock={lock}, flags={flags}, tag=""{tag}"", name={name}, ws={WorkSource}, uid={uid}, pid={pid}",8
40,"Acquiring suspend blocker ""{placeholder}"".",33
41,Skipping AppWindowToken{{placeholder} token=Token{{placeholder} ActivityRecord{{placeholder} {placeholder} {placeholder} {placeholder} {placeholder}}} -- going to hide,1
42,Bad activity token: {activity_token},1
43,java.lang.ClassCastException: {dynamic_variable} cannot be cast to com.android.server.am.ActivityRecord$Token,1
44,Skipping AppWindowToken{{token} -- going to hide},1
45,"onTouchEvent::{int}, x={float}, y={float}",2
46,schedulePeek,1
47,getRingtonePlayer...,2
48,disable: < expand {ICONS}* alerts {SYSTEM_INFO}* back home recent clock navigationbar search quick_settings >,3
49,"updateLightsLocked,mInCall ={mInCall},mScreenOn ={mScreenOn},ledNotification ={ledNotification}",2
50,"updateLightsLocked,turn off {notificationLight}",6
51,"overlapAmount:{}, previousNotificationEnd:{}, newYTranslation:{}, location:{}, i:{}, getTopPadding:{}, getLocationOnScreen():{}",13
52,"state.clipTopAmount:{clipTopAmount}, i:{i}",13
53,"updateClipping isOverlap:{bool}, getTopPadding={float}, Translation={float}",13
54,on{Event}Started,2
55,onTrackingStarted,1
56,"updateClipping isOverlap:{bool}, getTopPadding:{float}, Translation:{float}",21
57,cancelPeek: {boolean},20
58,"flingToHeight: vel={vel}, expand={expand}, target={target}, collapseSpeedUpFactor={collapseSpeedUpFactor}, expandBecauseOfFalsing={expandBecauseOfFalsing}",2
59,onTrackingStopped: {boolean},1
60,onExpandingFinished,1
61,Sending non-protected broadcast {broadcast_name} from system {system_id}:{system_name}/{user_id} pkg {package_name},2
62,logNotificationVisibilityChanges {variable1} {variable2},6
63,onNotificationVisibilityChanged called,6
64,logNotificationVisibilityChanges {variable1} {variable2} {variable3},6
65,isSimPinSecure mSimDatas is {nullOrEmpty},1
66,registerCallback not in UI.,3
67,android.util.AndroidRuntimeException: Must execute in UI,3
68,*** register callback for {class}@{address},1
69,*** unregister callback for {variable},1
70,[PhoneIntfMgr] getDataEnabled: subId={subId} phoneId={phoneId},1
71,[PhoneIntfMgr] getDataEnabled: subId={subId} retVal={retVal},1
72,"onInterceptTouchEvent MotionEvent { action={action}, actionButton={actionButton}, id[0]={id0}, x[0]={x0}, y[0]={y0}, toolType[0]={toolType0}, buttonState={buttonState}, metaState={metaState}, flags={flags}, edgeFlags={edgeFlags}, pointerCount={pointerCount}, historySize={historySize}, eventTime={eventTime}, downTime={downTime}, deviceId={deviceId}, source={source} }, mBlockTouches={mBlockTouches}",4
73,playSoundEffect   effectType: {effectType},10
74,"animateCollapsePanels:flags={flags}, force={force}, delayed={delayed}, mExpandedVisible={mExpandedVisible}",7
75,START u0 {act=ACTIVITY_NAME flg=FLAGS cmp=COMPONENT_NAME (has extras)} from uid USER_ID on display DISPLAY_ID,1
76,"ActivityRecord info: ActivityInfo{{packageName} {activityName}}, euid: {euid}",2
77,onNotificationClick called,2
78,"cancelNotification,index:{index}",23
79,"cancelNotification,cancelNotificationLocked,callingUid = {callingUid},callingPid = {callingPid}",2
80,"cancelNotificationLocked called,tell the app,reason = {reason}",2
81,cancelNotificationLocked:{int}|{string}|{int}|{null}|{int},2
82,"cancelNotificationLocked,remove ={packageName}",2
83,applyOptionsLocked: Unknown animationType={animationType},2
84,"Taking screenshot from Surface with crop:[Rect({int}, {int} - {int}, {int})], width:[{int}], height:[{int}], minLayer:[{int}], maxLayer:[{int}], inRotation:[{bool}], rot:[{int}]",4
85,"updateLightsLocked,mInCall ={boolean},mScreenOn ={boolean},ledNotification ={boolean}",2
86,removeNotification:{int}|{string}|{int}|{null}|{int},2
87,"updateNotificationShade: total={total}, active={active}",13
88,"animateCollapsePanels:flags={flag}, force={force}, delayed={delayed}, mExpandedVisible={visible}",1
89,The change in {variable1} caused us to need to do a {variable2} begin,3
90,The {dynamic_variable} caused us to need to do a layout end,5
91,setLightsOn({boolean}),181
92,removeNotificationChildren,12
93,on{Action}Finished,1
94,"Skipping, withExcluded: {boolean}, tr.intent:Intent { flg={hexadecimal} cmp={component} bnds=[{integer},{integer}][{integer},{integer}] }",13
95,"Skipping, withExcluded: {boolean}, tr.intent:Intent { act={string} flg={hex} cmp={string} (has extras) }",12
96,"Skipping, withExcluded: {boolean}, tr.intent:Intent { flg={hexadecimal} cmp={component} (has extras) }",21
97,"Skipping, withExcluded: {boolean}, tr.intent:Intent { act={string} dat={string} flg={hex} cmp={string} (has extras) }",7
98,"Skipping, withExcluded: {boolean}, tr.intent:Intent { act={string} dat={string} typ={string} flg={hex} cmp={string} (has extras) }",7
99,"getRecentTasks: num={num},flags={flags},totalTasks={totalTasks}",14
100,getRecentTasks: topActivity=ComponentInfo{{packageName}}/{{activityName}}},14
101,"cancelNotificationWithTag pid {pid},uid = {uid},tag = {tag},pkg ={pkg},id ={id}",20
102,makeExpandedInvisible: mExpandedVisible={boolean},4
103,closeQs,12
104,instantCollapse,9
