,LineId,Time,Level,Content,EventId,EventTemplate
0,1,Sun Dec 04 04:47:44 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok {path}
1,2,Sun Dec 04 04:47:44 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state {state}
2,3,Sun Dec 04 04:51:08 2005,notice,jk2_init() Found child 6725 in scoreboard slot 10,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
3,4,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6726 in scoreboard slot 8,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
4,5,Sun Dec 04 04:51:09 2005,notice,jk2_init() Found child 6728 in scoreboard slot 6,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
5,6,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok {path}
6,7,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok {path}
7,8,Sun Dec 04 04:51:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok {path}
8,9,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state {state}
9,10,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state {state}
10,11,Sun Dec 04 04:51:18 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state {state}
11,12,Sun Dec 04 04:51:37 2005,notice,jk2_init() Found child 6736 in scoreboard slot 10,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
12,13,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6733 in scoreboard slot 7,E1,jk2_init() Found child {child_id} in scoreboard slot {slot_number}
13,14,Sun Dec 04 04:51:38 2005,notice,jk2_init() Found child 6734 in scoreboard slot 9,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
14,15,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok {path}
15,16,Sun Dec 04 04:51:52 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok {path}
16,17,Sun Dec 04 04:51:55 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state {state}
17,18,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6738 in scoreboard slot 6,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
18,19,Sun Dec 04 04:52:04 2005,notice,jk2_init() Found child 6741 in scoreboard slot 9,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
19,20,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6740 in scoreboard slot 7,E1,jk2_init() Found child {child_id} in scoreboard slot {slot_number}
20,21,Sun Dec 04 04:52:05 2005,notice,jk2_init() Found child 6737 in scoreboard slot 8,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
21,22,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok {path}
22,23,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok {path}
23,24,Sun Dec 04 04:52:12 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok {path}
24,25,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state {state}
25,26,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state {state}
26,27,Sun Dec 04 04:52:15 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state {state}
27,28,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6748 in scoreboard slot 6,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
28,29,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6744 in scoreboard slot 10,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
29,30,Sun Dec 04 04:52:36 2005,notice,jk2_init() Found child 6745 in scoreboard slot 8,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
30,31,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok {path}
31,32,Sun Dec 04 04:52:49 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok {path}
32,33,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state {state}
33,34,Sun Dec 04 04:52:52 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state {state}
34,35,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6750 in scoreboard slot 7,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
35,36,Sun Dec 04 04:53:05 2005,notice,jk2_init() Found child 6751 in scoreboard slot 9,E1,jk2_init() Found child {child_pid} in scoreboard slot {slot_number}
