,EventTemplate,Occurrences
0,Component State Change: Component {component_name} is in the {state} state (HWID={hwid}),12
1,clusterAddMember (command {command_id}),2
2,risBoot (command {command_id}),1
3,bootGenvmunix (command {command_id}),2
4,boot (command {command_id}),36
5,boot (command {variable}),29
6,wait (command {id}),44
7,halt (command {command_id}),3
8,wait (command {command_id}),18
9,wait (command {var}),1
10,wait (command {variable}),3
11,boot (command {id}),2
12,Command has completed successfully,10
13,Targeting domains:{domain} and nodes:{nodes} child of command {command},3
14,Targeting domains:{domain} and nodes:{nodes} child of command {command_id},2
15,Targeting domains:{domain} and nodes:{nodes},1
16,Targeting domains:{domain} and nodes:{node},2
17,Targeting domains:node-{node_range} and nodes:node-{node_range},1
18,psu failure\ ambient={ambient},5
19,Temperature ({temp}) exceeds warning threshold,2
20,ClusterFileSystem: There is no server for ServerFileSystem domain {domain},32
21,NIFF: node {node_name} detected a failed network connection on network {network_address} via interface {interface_name},2
22,ServerFileSystem: An ServerFileSystem domain panic has occurred on {storage},1
23,Fan speeds ( {number} {number} {number} **** {number} {number} ),78
24,Fan speeds ( {speed1} {speed2} {speed3} {speed4} {speed5} {speed6} ),11
25,Fan speeds ( {num1} {num2} {num3} **** {num4} {num5} ),1
26,Command has been aborted,1
27,power/{issue} problem,1
28,Link error,13
29,Link in reset,9
30,Link ok,13
31,Link error on broadcast tree {interconnect},4
32,ServerFileSystem: ServerFileSystem domain {domain} is full,12
33,ClusterFileSystem: ServerFileSystem domain {domain} is no longer served by node {node},35
34,ClusterFileSystem: ServerFileSystem domain {cluster_name} is no longer served by node {node_name},1
35,running,162
36,blocked,15
37,{status},61
38,configured out,91
39,inconsistent nodesets {node} {hex_code} <ok>,3
40,active,5
41,starting,1
42,closing,1
43,inconsistent nodesets {node} {value} <ok> {node} {value} <ok> {node} {value} <ok> {node} {value} <ok> {node} {value} <ok>,1
44,normal,206
45,warning,205
46,ambient={ambient},292
47,critical,20
48,Linkerror event interval expired,394
49,risBoot (command {command}) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,1
50,boot (command {command_id}) Error: HALT asserted\  cannot continue,1
51,Failed subcommands {subcommand_id},1
52,link errors remain current,56
53,NIFF: node {node_name} has detected an available network connection on network {network_address} via interface {interface_name},88
54,NIFF: node {node_id} has detected an available network connection on network {network_address} via interface {interface_name},1
55,NIFF: node {node_id} has detected an available network connection on network {network} via interface {interface},1
56,NIFF: node {node_id} has detected an available network connection on network {network_address} via interface {interface_type},1
