,EventTemplate,Occurrences
0,Created MRAppMaster for application {application_id},1
1,Executing with tokens: {tokens},1
2,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: {id} cluster_timestamp: {cluster_timestamp} } attemptId: {attemptId} } keyId: {keyId})",1
3,Using mapred {committerType}.,1
4,OutputCommitter set in config {config},1
5,OutputCommitter is {committer},1
6,Registering class {class_name} for class {handler_class},2
7,Registering class {class_name} for class {class_type},2
8,Registering class {class_name} for class {dispatcher_class},1
9,Registering class {class_name} for class {event_dispatcher},1
10,Registering class {class_name} for class {class_name},2
11,Default file system [{filesystem}],3
12,Emitting job history data to the timeline server is not enabled,1
13,Registering class {class1} for class {class2},1
14,loaded properties from {file},1
15,Scheduled snapshot period at {time} second(s).,1
16,MRAppMaster metrics system started,1
17,Adding job token for {job_id} to jobTokenSecretManager,1
18,Not uberizing {job_id} because: not enabled; too many maps; too much input;,1
19,Input size for job {job_id} = {input_size}. Number of splits = {num_splits},1
20,Number of reduces for job {job_id} = {num_reduces},1
21,job_{timestamp}_Job Transitioned from {status1} to {status2},1
22,"MRAppMaster launching normal, non-uberized, multi-container job {job_id}.",1
23,Using callQueue class {class},2
24,Starting Socket Reader #{number} for port {port},2
25,Adding protocol {protocol} to the server,1
26,Instantiated MRClientService at {hostname}/{ip}:{port},1
27,IPC Server Responder: {status},2
28,IPC Server listener on {port}: starting,2
29,Logging to org.slf4j.impl.Log4jLoggerAdapter({}) via org.mortbay.log.Slf4jLog,1
30,Http request log for {httpEndpoint} is not defined,1
31,Added global filter '{filter_name}' (class={filter_class}),1
32,Added filter {FILTER_NAME} (class={FILTER_CLASS}) to context {CONTEXT_NAME},1
33,Added filter {FILTER_NAME} (class={FILTER_CLASS}) to context static,1
34,adding path spec: {path},1
35,adding path spec: {path_spec},1
36,Jetty bound to port {port},1
37,jetty-{version},1
38,Extract jar:{jar_path} to {destination_path},1
39,Started HttpServer2$SelectChannelConnectorWithSafeStartup@{IP}:{PORT},1
40,Web app /mapreduce started at {timestamp},1
41,Registered webapp guice modules,1
42,JOB_CREATE {job_id},1
43,nodeBlacklistingEnabled:{boolean},1
44,maxTaskFailuresPerNode is {value},1
45,blacklistDisablePercent is {value},1
46,Connecting to ResourceManager at {hostname}/{ip}:8030,1
47,"maxContainerCapability: <memory:{memory}, vCores:{vCores}>",1
48,queue: {queue_name},1
49,Upper limit on the thread pool size is {limit},1
50,yarn.client.max-cached-nodemanagers-proxies : {value},1
51,job_{timestamp}_Job Transitioned from {old_state} to {new_state},2
