,LineId,Time,Component,Pid,Content,EventId,EventTemplate
0,1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,E42,onStandStepChanged {step}
1,2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,E39,onExtend:{timestamp} {int1} {int2} {int3}
2,3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,E41,onReceive action: {action}
3,4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,E43,processHandleBroadcastAction action:{action}
4,5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,E12,flush sensor data
5,6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,E22,getTodayTotalDetailSteps = {timestamp}##{var1}##{var2}##{var3}##{var4}##{var5}
6,7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,E58,setTodayTotalDetailSteps={timestamp}##{var1}##{var2}##{var3}##{var4}##{var5}
7,8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,E42,onStandStepChanged {step}
8,9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,E4,calculateCaloriesWithCache totalCalories={totalCalories}
9,10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude={altitude}
10,11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,E47,REPORT : {var1} {var2} {var3} {var4}
11,12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,E39,onExtend:{timestamp} {value1} {value2} {value3}
12,13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,E42,onStandStepChanged {step}
13,14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,E42,onStandStepChanged {step}
14,15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,E39,onExtend:{timestamp} {value1} {value2} {value3}
15,16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,E22,getTodayTotalDetailSteps = {timestamp}##{var1}##{var2}##{var3}##{var4}##{var5}
16,17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,E58,setTodayTotalDetailSteps={timestamp}##{value1}##{value2}##{value3}##{value4}##{value5}
17,18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,E4,calculateCaloriesWithCache totalCalories={totalCalories}
18,19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E3,calculateAltitudeWithCache totalAltitude={altitude}
19,20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,E47,REPORT : {var1} {var2} {var3} {var4}
20,21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,E42,onStandStepChanged {step}
21,22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,E39,onExtend:{timestamp} {value1} {value2} {value3}
22,23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,E22,getTodayTotalDetailSteps = {timestamp}##{value1}##{value2}##{value3}##{value4}##{value5}
23,24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,E58,setTodayTotalDetailSteps={timestamp}##{num1}##{num2}##{num3}##{num4}##{num5}
24,25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,E4,calculateCaloriesWithCache totalCalories={totalCalories}
