,EventTemplate,Occurrences
0,IOThunderboltSwitch<{variable1}>({variable2})::listenerCallback - Thunderbolt HPD packet for route = {variable3} port = {variable4} unplug = {variable5},32
1,Thermal pressure state: {thermal_state} Memory pressure state: {memory_state},19
2,FA||Url||taskID[{taskID}] dealloc,17
3,ARPT: {timestamp}: AirPort_Brcm43xx::syncPowerState: WWEN[{enabled}],12
4,ARPT: {timestamp}: AirPort_Brcm43xx::platformWoWEnable: WWEN[{status}],16
5,mDNS_DeregisterInterface: Frequent transitions for interface {interface} ({IP_address}),2
6,"ARPT: {timestamp}: IOPMPowerSource Information: onSleep,  SleepType: {sleep_type},  'ExternalConnected': {external_connected}, 'TimeRemaining': {time_remaining},",13
7,"ARPT: {timestamp}: {interface}: wl_update_tcpkeep_seq: Original Seq: {seq_num}, Ack: {ack_num}, Win size: {win_size}",5
8,ARPT: {float}: ARPT: Wake Reason: {string},3
9,__{number}-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value {number},16
10,IO80211AWDLPeerManager::setAwdlAutoMode {action} AWDL,15
11,"ARPT: {timestamp}: {interface}: MDNS: {num_srv_recs} SRV Recs, {num_txt_recs} TXT Recs",9
12,AppleCamIn::systemWakeCall - messageType = {messageType},56
13,"setting hostname to ""{hostname}""",7
14,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds.  Ignoring.",45
15,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams {stream_count},4
16,[time] <<<< {variable1} >>>> crabsFlumeHostAvailable: [{variable2}] Byte flume reports host available again.,3
17,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds.  Ignoring.",32
18,AirPort: Link Down on {interface}. Reason {reason_code} ({reason}).,7
19,"PM response took {time} ms ({number}, {text})",6
20,"ARPT: {timestamp}: wl0: Roamed or switched channel, reason #{reason}, bssid {bssid}, last RSSI {rssi}",3
21,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from {old_state} to {new_state},7
22,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds.  Ignoring.",24
23,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode({boolean})",9
24,"network_reachability_changed : network is not reachable, {process} is shutting down",1
25,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
26,com.apple.Addres({pid}) deny {action} {path},26
27,ARPT: {timestamp}: {interface}: MDNS: IPV6 Addr: {ipv6_address},19
28,AirPort: Link Up on {interface},13
29,Sandbox: {process_name}({process_id}) {action}({result}) {resource_type} {resource_path},8
30,ARPT: {timestamp}: AirPort_Brcm43xx::platformWoWEnable: WWEN[{enable}],12
31,AppleThunderboltGenericHAL::earlyWake - complete - took {time} milliseconds,22
32,mDNS_DeregisterInterface: Frequent transitions for interface {interface} ({ip_address}),3
33,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = {retries},11
34,"ARPT: {timestamp}: {interface}: wl_update_tcpkeep_seq: Updated seq/ack/win from {source} Seq {seq}, Ack {ack}, Win size {win}",4
35,en0::{interface}::{action} {detail},10
36,ARPT: {timestamp}: ARPT: Wake Reason: {reason},8
37,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds.  Ignoring.",32
38,Thermal pressure state: {thermal_pressure_state} Memory pressure state: {memory_pressure_state},20
39,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = {intel_rp} dlla_reporting_supported = {dlla_reporting_supported},6
40,mDNS_RegisterInterface: Frequent transitions for interface {interface} ({IP_address}),4
41,{}::wakeEventHandlerThread,13
42,"ARPT: {timestamp}: {interface}: setup_keepalive: Local port: {local_port}, Remote port: {remote_port}",7
43,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:{dynamicIdentifier}:when:{date}:confidence:{confidence}:deviceName:{deviceName}:deviceIdentifier:{deviceIdentifier}:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) when={date} confidence={confidence} from=(null)/(null) (UABestAppSuggestionManager.m #319),14
44,en0: channel changed to {channel},11
45,ARPT: {timestamp}: AQM agg results {result_code} len hi/lo: {length_hi} {length_lo} BAbitmap({bitmap_range}) {bitmap_values},2
46,"CCFile::captureLog Received Capture notice id: {id}, reason = AuthFail:sts:{sts}_rsn:{rsn}",15
47,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from {old_mode} to {new_mode},20
48,Unrecognized attribute value: t:{attribute_value},8
49,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code={errorCode} ""{errorMessage}"" UserInfo={NSDescription={errorDescription}}}",11
50,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",2
51,IOThunderboltSwitch<{var1}>({var2})::listenerCallback - Thunderbolt HPD packet for route = {var3} port = {var4} unplug = {var5},4
52,{time} : BTLE scanner Powered On,4
53,button report: {hex_value},20
54,11:20:51.293 : BTLE discovered device with hash {hash},1
55,"securityd_xpc_dictionary_handler cloudd[{process_id}] copy_matching Error Domain=NSOSStatusErrorDomain Code=-50 ""{error_description}"" ({error_code}: {error_message}) UserInfo={{NSDescription={error_description}}}",3
56,Location icon should now be in state '{state}',37
57,"ARPT: {timestamp}: wl0: setup_keepalive: interval {interval}, retry_interval {retry_interval}, retry_count {retry_count}",6
58,ARPT: {timestamp}: {interface}: MDNS: IPV4 Addr: {IP address},4
59,__{number}-[NETClientConnection evaluate{string}]_block_invoke {string}{number} - Hit by torpedo! QQ.{number} {string}{number} {ip}:{number},2
60,"Setting BTCoex Config: enable_2G:{}, profile_2g:{}, enable_5G:{}, profile_5G:{}",7
61,Captive: [CNInfoNetworkActive:{dynamic_variable}] {dynamic_variable}: SSID '{dynamic_variable}' making interface primary (cache indicates network not captive),2
62,"com.apple.suggestions.harvest: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for {seconds} seconds.  Ignoring.",18
63,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] {error_message}.,17
64,{:time} : Finished generating hashes,1
65,Captive: CNPluginHandler {interface}: Evaluating,4
66,"PM response took {time} ms ({number}, {service})",3
67,tcp_connection_destination_perform_socket_connect {port} connectx to {ip_address}:{port}@{attempt} failed: [{error_code}] {error_message},3
68,AirPort: Link Down on {interface}. Reason {reason_code} ({reason_description}).,5
69,"USBMSC Identifier (non-unique): {identifier} {hex1} {hex2} {hex3}, {number}",12
70,CCXPCService::setStreamEventHandler Registered for notification callback.,2
