,EventTemplate,Occurrences
0,Cocoa scripting error for '<*>': four character codes must be four characters long.,71
1,AppleCamIn::systemWakeCall - messageType = <*>,56
2,"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",45
3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
4,Thermal pressure state: <*> Memory pressure state: <*>,39
5,Location icon should now be in state '<*>',37
6,<*>(<*>)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
7,"com.apple.Safari.SafeBrowsing.Update: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",35
8,"com.apple.CacheDelete.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",32
9,ARPT: <*>: AirPort_Brcm43xx::powerChange: <*>,29
10,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[<*>],28
11,ARPT: <*>: <*>: MDNS: IPV6 Addr: <*>,28
12,Sandbox: <*>(<*>) <*>(<*>) <*> <*>,27
13,com.apple.Addres(<*>) deny <*> <*>,26
14,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
15,"com.apple.EscrowSecurityAlert.daily: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",24
16,CCFile::captureLogRun() Exiting CCFile::captureLogRun,22
17,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,22
18,"CCFile::copyFile fileName is <*>, source path:<*>, dest path:<*>",21
19,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,20
20,button report: <*>,20
21,"com.apple.suggestions.harvest: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",19
22,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - <*>,18
23,FA||Url||taskID[<*>] dealloc,17
24,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] <*>.,17
25,"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>",17
26,CCFile::captureLog,17
27,<*>-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value <*>,16
28,en0: BSSID changed to <*>,16
29,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <*>.,16
30,"CCFile::captureLogRun Skipping current file Dir file <*>, Current File <*>",16
31,IO80211AWDLPeerManager::setAwdlAutoMode <*> AWDL,15
32,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,15
33,"CCFile::captureLog Received Capture notice id: <*>, reason = AuthFail:sts:<*>",15
34,Previous sleep cause: <*>,15
35,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,15
36,"Path not allowed in target domain: type = <*>, path = <*> error = <*>: <*>, origin = <*>",15
37,Received Capture Event,15
38,AppleCamIn::handleWakeEvent_gated,15
