,EventTemplate,Occurrences
0,"{ip_address} ""GET {endpoint} HTTP/1.1"" status: {status_code} len: {content_length} time: {response_time}",485
1,[instance: {instance_id}] VM Started (Lifecycle Event),22
2,[instance: {instance_id}] VM Paused (Lifecycle Event),22
3,[instance: {instance_id}] During sync_power_state the instance has a pending task ({task}). Skip.,43
4,image {image_id} at ({file_path}): checking,82
5,"image {image_id} at ({file_path}): in use: on this node {local_count} local, {other_count} on other nodes sharing this instance storage",82
6,Active base files: /var/lib/nova/instances/_base/{base_file},82
7,Creating event network-vif-plugged:{event_id} for instance {instance_id},13
8,"IP_ADDRESS ""POST /v2/{EVENT_ID}/os-server-external-events HTTP/1.1"" status: {STATUS_CODE} len: {RESPONSE_LENGTH} time: {RESPONSE_TIME}",9
9,[instance: {instance_id}] VM Resumed (Lifecycle Event),44
10,[instance: {instance_id}] Instance spawned successfully.,22
11,[instance: {instance_id}] Took {time} seconds to spawn the instance on the hypervisor.,22
12,[instance: {instance_id}] Took {time} seconds to build instance.,22
13,"{ip_address} ""GET {endpoint} HTTP/1.1"" status: {status_code} len: {length} time: {response_time}",48
14,Auditing locally available compute resources for node {node_name},15
15,"Total usable vcpus: {usable_vcpus}, total allocated vcpus: {allocated_vcpus}",15
16,Final resource view: name={name} phys_ram={phys_ram}MB used_ram={used_ram}MB phys_disk={phys_disk}GB used_disk={used_disk}GB total_vcpus={total_vcpus} used_vcpus={used_vcpus} pci_stats={pci_stats},9
17,Compute_service record updated for {compute_service}: {compute_service},15
18,"{client_ip},{server_ip} ""GET {endpoint} HTTP/1.1"" status: {status_code} len: {response_length} time: {response_time}",14
19,"{client_ip},{server_ip} ""GET {endpoint} HTTP/1.1"" status: {status_code} len: {content_length} time: {response_time}",83
20,"IP1,IP2 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: {status} len: {length} time: {time}",12
21,"{ip_address} ""DELETE {url} HTTP/1.1"" status: {status_code} len: {content_length} time: {response_time}",11
22,"IP1,IP2 ""METHOD PATH PROTOCOL"" status: STATUS len: LENGTH time: TIME",1
23,[instance: {instance_id}] Terminating instance,22
24,[instance: {instance_id}] Instance destroyed successfully.,22
25,"IP_ADDRESS ""HTTP_METHOD /v2/{ID}/servers/detail HTTP/1.1"" status: {STATUS_CODE} len: {RESPONSE_LENGTH} time: {RESPONSE_TIME}",97
26,[instance: {instance_id}] Deleting instance files {file_path},20
27,[instance: {instance_id}] Deletion of {file_path} complete,20
28,[instance: {instance_id}] Took {time_taken} seconds to destroy the instance on the hypervisor.,12
29,[instance: {instance_id}] Took {time} seconds to deallocate network for instance.,21
30,"{ip} ""GET {url} HTTP/1.1"" status: {status} len: {length} time: {time}",1
31,Unknown base file: {file_path},19
32,Removable base files: /var/lib/nova/instances/_base/{base_file},30
33,Removing base or swap file: /var/lib/nova/instances/_base/{file_id},21
34,HTTP exception thrown: {error_message},21
