,EventTemplate,Occurrences
0,"<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",567
1,"<*>,<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",148
2,"IP_ADDRESS ""HTTP_METHOD <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",98
3,image <*> at (<*>): checking,82
4,"image <*> at (<*>): in use: on this node <*> local, <*> on other nodes sharing this instance storage",82
5,Active base files: <*>,82
6,"<*> ""POST <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",54
7,"IP1,IP2 ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",48
8,[instance: <*>] VM Resumed (Lifecycle Event),44
9,[instance: <*>] During sync_power_state the instance has a pending task (<*>). Skip.,43
10,"IP_ADDRESS ""GET REQUEST_PATH HTTP/1.<*>"" status: STATUS_CODE len: RESPONSE_LENGTH time: RESPONSE_TIME",32
11,Unknown base file: <*>,30
12,Removable base files: <*>,30
13,[instance: <*>] VM Started (Lifecycle Event),22
14,[instance: <*>] VM Paused (Lifecycle Event),22
15,Creating event network-vif-plugged:<*> for instance <*>,22
16,[instance: <*>] Instance spawned successfully.,22
17,[instance: <*>] Took <*> seconds to spawn the instance on the hypervisor.,22
18,[instance: <*>] Took <*> seconds to build instance.,22
19,[instance: <*>] Terminating instance,22
20,[instance: <*>] Instance destroyed successfully.,22
21,[instance: <*>] Deleting instance files <*>,21
22,[instance: <*>] Deletion of <*> complete,21
23,[instance: <*>] Took <*> seconds to destroy the instance on the hypervisor.,21
24,[instance: <*>] Took <*> seconds to deallocate network for instance.,21
25,Removing base or swap file: <*>,21
26,HTTP exception thrown: <*>,21
27,"[instance: <*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",21
28,"[instance: <*>] Total memory: <*> MB, used: <*> MB",21
29,"[instance: <*>] memory limit: <*> MB, free: <*> MB",21
30,"[instance: <*>] Total disk: <*> GB, used: <*> GB",21
31,"[instance: <*>] disk limit not specified, defaulting to unlimited",21
32,"[instance: <*>] Total vcpu: <*> VCPU, used: <*> VCPU",21
33,"[instance: <*>] vcpu limit not specified, defaulting to unlimited",21
34,[instance: <*>] Claim successful,21
35,[instance: <*>] Creating image,21
36,[instance: <*>] VM Stopped (Lifecycle Event),21
37,Auditing locally available compute resources for node <*>,15
38,"Total usable vcpus: <*>, total allocated vcpus: <*>",15
39,Final resource view: name=<*> phys_ram=<*> used_ram=<*> phys_disk=<*> used_disk=<*> total_vcpus=<*> used_vcpus=<*> pci_stats=<*>,15
40,Compute_service record updated for <*>: <*>,15
41,"IP_ADDRESS ""HTTP_METHOD <*> HTTP/VERSION"" status: <*> len: <*> time: <*>",14
42,"<*> ""DELETE <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",11
43,"IP_ADDRESS ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",11
44,"IP_ADDRESS ""POST <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",10
45,"<*> ""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",9
46,Base or swap file too young to remove: <*>,9
47,"IP1,IP2 ""GET /latest/meta-data/block-device-mapping/ HTTP/1.<*>"" status: <*> len: <*> time: <*>",6
48,The instance sync for host '<*>' did not match. Re-created its InstanceList.,5
49,Successfully synced instances from host '<*>'.,2
50,"IP1,IP2 ""GET /latest/meta-data/placement/ HTTP/1.<*>"" status: <*> len: <*> time: <*>",2
51,"IP_ADDRESS ""DELETE <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",2
52,"IP1,IP2 ""METHOD PATH PROTOCOL"" status: STATUS len: LENGTH time: TIME",1
53,Running instance usage audit for host <*> from <*> to <*>. <*> instances.,1
54,"IP1,IP2 ""METHOD PATH HTTP_VERSION"" status: STATUS_CODE len: LENGTH time: TIME",1
55,"IP_ADDRESS ""HTTP_METHOD <*>=<*>&changes-since=<*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",1
56,"<*>,<*> ""<*> <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>",1
57,"While synchronizing instance power states, found <*> instances in the database and <*> instances on the hypervisor.",1
58,"IP1,IP2 ""GET /latest/meta-data/ HTTP/1.<*>"" status: <*> len: <*> time: <*>",1
