,EventTemplate,Occurrences
0,proxy.cse.cuhk.edu.hk:5070 open through proxy {proxy_address} HTTPS,457
1,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",110
2,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec>",56
3,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({KB_received} KB) received, lifetime <{lifetime} sec>",7
4,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime <{lifetime} sec>",1
5,"proxy.cse.cuhk.edu.hk:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",103
6,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes ({KB_sent} KB) sent, {bytes_received} bytes received, lifetime <{lifetime} sec>",12
7,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",27
8,"proxy.cse.cuhk.edu.hk:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",17
9,"proxy.cse.cuhk.edu.hk:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",37
10,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime <{lifetime} sec>",15
11,"proxy.cse.cuhk.edu.hk:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",24
12,"proxy.cse.cuhk.edu.hk:5070 close, {sent_bytes} sent, {received_bytes} received, lifetime <{lifetime}> sec",1
13,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes ({KB_received} KB) received, lifetime {lifetime}",8
14,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime}> sec",8
15,{IP}:22 open through proxy {proxy}:5070 SOCKS5,2
16,"proxy.cse.cuhk.edu.hk:5070 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",4
17,"get.sogou.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec>",10
18,"tcpconn.{domain}:{port} close, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>",1
19,tcpconn{num}.tencent.com:{port} error : {message},1
20,tcpconn{num}.tencent.com:{port} error : Could not connect through proxy {proxy}:5070 - Proxy closed the connection unexpectedly.,1
21,"proxy.cse.cuhk.edu.hk:5070 close, {bytes_sent} bytes ({KB_sent} KB) sent, {bytes_received} bytes received, lifetime {lifetime}",19
22,"{ip_address}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
23,{IP}:80 open through proxy {proxy}:5070 HTTPS,3
24,{host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},218
25,"tcpconn{conn_num}.tencent.com:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>",1
26,{IP}:443 open through proxy {proxy}:5070 HTTPS,5
