,EventTemplate,Occurrences
0,proxy.cse.cuhk.edu.hk:<*> open through proxy <*> HTTPS,457
1,<*> open through proxy <*> <*>,318
2,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",110
3,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",103
4,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",56
5,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",56
6,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",37
7,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*> sec>",29
8,<*> open through proxy <*> HTTPS,27
9,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*> sec>",24
10,"proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*> sec>",23
11,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",22
12,"<*>.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",18
13,api.github.com:<*> open through proxy <*> <*>,14
14,"api.github.com:<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",14
15,get.sogou.com:<*> open through proxy <*> <*>,13
16,www.<*> open through proxy <*> <*>,12
17,"block.dropbox.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",12
18,www.google.com:<*> open through proxy <*> <*>,11
19,"get.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",10
20,"www.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",10
21,"client-cf.dropbox.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",10
22,bolt.dropbox.com:<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,10
23,"<*>.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",9
