,EventTemplate,Occurrences
0,"Times: total = <*>, boot = <*>, init = <*>, finish = <*>",375
1,Got assigned task <*>,305
2,Running task <*> in stage <*> (TID <*>),305
3,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver,299
4,Found block <*> locally,257
5,"Partition <*> not found, computing it",74
6,"Block <*> stored as bytes in memory (estimated size <*>, free <*>)",58
7,"Block <*> stored as bytes in memory (estimated size <*> B, free <*> KB)",53
8,Input split: hdfs://<*>/<*>/<*>+<*>,40
9,Started reading broadcast variable <*>,37
10,Reading broadcast variable <*> took <*> ms,37
11,"Block <*> stored as values in memory (estimated size <*>, free <*>)",36
12,File Output Committer Algorithm version is <*>,30
13,Saved output of task '<*>' to <*>,30
14,<*>: Committed,20
15,<*>: <*>,10
16,Input split: <*>+<*>,4
17,Changing view acls to: <*>,2
18,"Changing modify acls to: <*>,<*>",2
19,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>, <*>); users with modify permissions: Set(<*>, <*>)",2
20,Successfully started service '<*>' on port <*>.,2
21,Registered signal handlers for [<*>],1
22,Slf4jLogger started,1
23,Starting remoting,1
24,Remoting started; listening on addresses :[<*>],1
25,Created local directory at <*>,1
26,MemoryStore started with capacity <*>,1
27,Connecting to driver: spark://<*>@<*>,1
28,Successfully registered with driver,1
29,Starting executor ID <*> on host <*>,1
30,Server created on <*>,1
31,Trying to register <*>,1
32,Registered BlockManager,1
33,"mapred.tip.id is deprecated. Instead, use <*>",1
34,"mapred.task.id is deprecated. Instead, use <*>",1
35,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.<*>",1
36,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",1
37,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",1
38,Finished task <*> in stage <*> (TID <*>). <*> result sent to driver,1
39,"Block <*> stored as values in memory (estimated size <*> KB, free <*> KB)",1
40,"Partition <*> found, computing it",1
41,Input split: hdfs://<*>/pjhe/logs/<*>+<*>,1
42,"Block <*> stored as bytes in memory (estimated size <*> KB, free <*> KB)",1
