,EventTemplate,Occurrences
0,session closed for user {username},24
1,session opened for user {username} by (uid={uid}),19
2,(root) CMD (run-parts /etc/cron.hourly),7
3,(root) CMD ({command}),7
4,data_thread() got not answer from any {datasource} datasource,788
5,"synchronized to {ip_address}, stratum {stratum_level}",566
6,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,62
7,[ib_sm_sweep.c:{line_number}]: No topology change,62
8,[ib_sm_sweep.c:{line_number}]: No configuration change required,62
9,Local disconnected: {Reason}.,3
10,connection lost: '{reason}',3
11,unable to qualify my own domain name ({domain_name}) -- using short name,8
12,"{:id}: from={:from}, size={:size}, class={:class}, nrcpts={:nrcpts}, msgid={:msgid}, relay={:relay}",9
13,"to={to}, ctladdr={ctladdr}, delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay={relay}, dsn={dsn}, stat={stat}",3
14,unable to qualify my own domain name ({hostname}) -- using short name,2
15,"jA9J1Wd7019391: to={to}, ctladdr={ctladdr} ({ctladdr_count}/{ctladdr_total}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
16,"{}: from={}, size={}, class={}, nrcpts={}, msgid={}, relay={}",1
17,"jA9J1WSU011176: to={to}, ctladdr={ctladdr} ({ctladdr_count}/{ctladdr_total}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
18,"jA9J1WFE024258: to={to}, ctladdr={ctladdr} ({ctladdr_count}/{ctladdr_total}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
19,data_thread() got not answer from any {datasource},31
20,DHCPDISCOVER from {mac_address} via {interface},5
21,DHCPOFFER on {IP} to {MAC} via {interface},5
22,DHCPDISCOVER from {mac_address} via {interface}: network {network_name}: no free leases,15
23,DHCPACK on {IP} to {MAC} via {interface},3
24,DHCPREQUEST for {IP} ({IP}) from {MAC} via {interface},3
25,START: tftp pid={pid} from={ip},1
26,DHCPREQUEST for {IP} ({IP}) from {MAC} via {interface}: unknown lease {IP}.,9
27,RRD_update ({rrd_path}): illegal attempt to update using time {update_time} when last update time is {last_update_time} (minimum one second step),11
28,kernel time sync disabled {variable},1
29,time reset {time} s,1
30,Received SNMP packet(s) from {device_id},1
31,"synchronized to LOCAL({int}), stratum {int}",1
32,kernel time sync enabled {timestamp},1
33,"synchronized to #{int}#, stratum {int}",1
34,(root) CMD ({path} {arg}),4
35,(root) CMD (/projects/tbird/temps/get_temps {variable}),1
36,My unqualified host name ({hostname}) unknown; sleeping for retry,5
37,CentOS-4 ({dynamic_variable}),1
38,(supports {state1} {state2} {state3}),1
39,DSDT (v001 {string1} {string2} 0x{hex1} {string3} 0x{hex2}) @ 0x{hex3},1
40,FADT (v{version} {manufacturer} {product} 0x{revision} {oem_id} 0x{creator_id}) @ 0x{memory_address},1
41,HPET (v{version} {manufacturer} {model} 0x{code} {os} 0x{os_version}) @ 0x{memory_address},1
42,HPET id: {id} base: {base},1
43,INT_SRC_OVR (bus {bus} bus_irq {bus_irq} global_irq {global_irq} dfl dfl),1
44,INT_SRC_OVR (bus {bus} bus_irq {bus_irq} global_irq {global_irq} {level}),1
45,IOAPIC (id[{id}] address[{address}] gsi_base[{gsi_base}]),3
46,IRQ{IRQ_number} used by override.,2
47,IRQ{number} used by {source}.,1
48,Interpreter enabled,1
49,LAPIC (acpi_id[{acpi_id}] lapic_id[{lapic_id}] enabled),4
