,EventTemplate,Occurrences
0,Loaded Servicing Stack v{version} with Core: {core_path},2
1,00000001@{date}:20:30:31.455 WcpInitialize (wcp.dll version {version}) called (stack @{stack1} @{stack2} @{stack3} @{stack4} @{stack5} @{stack6}),1
2,00000002@{date}:20:30:31.458 WcpInitialize (wcp.dll version {version}) called (stack @{stack}),1
3,00000003@{date}:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @{stack1} @{stack2} @{stack3} @{stack4} @{stack5} @{stack6}),1
4,Ending TrustedInstaller initialization.,2
5,Starting the TrustedInstaller main loop.,2
6,TrustedInstaller service starts {status}.,2
7,SQM: Initializing online with Windows opt-in: {Boolean},2
8,SQM: Cleaning up report files older than {number_of_days} days.,2
9,SQM: Requesting upload of all unsent reports.,2
10,"SQM: Failed to start upload with file pattern: {file_pattern}, flags: {flags} [HRESULT = {HRESULT}]",2
11,SQM: Failed to start standard sample upload. [HRESULT = {HRESULT} - E_FAIL],2
12,"SQM: Queued {number} file(s) for upload with pattern: {file_path}, flags: {flags}",2
13,SQM: Warning: Failed to upload all unsent reports. [HRESULT = {HRESULT} - E_FAIL],2
14,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
15,NonStart: Checking to ensure {variable} processing was not required.,2
16,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call {call_number}) (flags = {flags}, progress = {progress}, phase = {phase}, pdwDisposition = {pdw_disposition}",2
17,"Creating NT transaction (seq {seq}), objectname [{objectname_length}]""{objectname}""",3
18,"Created NT transaction (seq {seq}) result {result}, handle @{handle}",3
19,{sequence}@{date}:CSI perf trace:,1
20,"NonStart: {status}, startup processing {requirement} as {expectation}.",2
21,Startup processing thread terminated normally,2
22,{number} CSI Store {number} ({hex}) initialized,1
23,Session: {session_id} initialized by client {client_name}.,609
24,Warning: Unrecognized {attribute} attribute.,280
25,Expecting attribute name [HRESULT = {HRESULT} - CBS_E_MANIFEST_INVALID_ITEM],224
