,EventTemplate,Occurrences
0,Session: <*> initialized by client <*>.,609
1,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>",552
2,Warning: Unrecognized <*> attribute.,280
3,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224
4,Failed to get next element [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],224
5,Failed to internally open package. [HRESULT = <*> - CBS_E_INVALID_PACKAGE],18
6,<*>@<*> WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>),4
7,"Creating NT transaction (seq <*>), objectname [<*>]""<*>""",3
8,"Created NT transaction (seq <*>) result <*>, handle @<*>",3
9,Loaded Servicing Stack <*> with Core: <*>,2
10,Ending TrustedInstaller initialization.,2
11,Starting the TrustedInstaller main loop.,2
12,TrustedInstaller service starts <*>.,2
13,SQM: Initializing online with Windows opt-in: <*>,2
14,SQM: Cleaning up report files older than <*> days.,2
15,SQM: Requesting upload of all unsent reports.,2
16,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*>]",2
17,SQM: Failed to start standard sample upload. [HRESULT = <*> - E_FAIL],2
18,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>",2
19,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> - E_FAIL],2
20,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
21,NonStart: Checking to ensure <*> processing was not required.,2
22,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = <*>",2
23,"NonStart: <*>, startup processing <*> as <*>.",2
24,Startup processing thread terminated normally,2
25,"Read out cached package applicability for package: Microsoft-Windows-PlatformUpdate-Win7-SRV08R2-Package-<*>, ApplicableState: <*>, CurrentState:<*>",2
26,"Read out cached package applicability for package: Microsoft-Windows-RDP-BlueIP-Package-<*>, ApplicableState: <*>, CurrentState:<*>",2
27,"Read out cached package applicability for package: Microsoft-Windows-Embedded-EmbeddedLockdown-Package-<*>, ApplicableState: <*>, CurrentState:<*>",2
28,Failed to create backup log cab. [HRESULT = <*> - <*>],2
29,<*>@<*> CSI perf trace:,2
30,<*>@<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),1
31,<*>@<*>:CSI perf trace:,1
32,<*> CSI Store <*> (<*>) initialized,1
33,Reboot mark refs incremented to: <*>,1
34,Scavenge: <*>,1
