,EventTemplate,Occurrences
0,Interrupted while waiting for message on <*>,314
1,Received connection request <*>,299
2,Interrupting <*>,266
3,Send worker leaving thread,197
4,"Connection broken for id <*>, my id = <*>, error =",195
5,"Connection broken for id <*>, my id = <*>, error = <*>",96
6,Cannot open channel to <*> at election address <*>,86
7,Send worker <*> thread,65
8,Established session <*> with negotiated timeout <*> for client <*>,50
9,Processed session termination for sessionid: <*>,47
10,Closed socket connection for client <*> which had sessionid <*>,44
11,Client attempting to establish new session at/<*>,40
12,"Expiring session <*>, timeout of <*> exceeded",40
13,Notification time out: <*>,37
14,caught <*> exception,37
15,Accepted socket connection from <*>,37
16,Connection request from old client <*>; will be dropped if server is in <*> mode,21
17,******* GOODBYE <*> ********,19
18,Connection request from old client <*>; will be dropped if server is in r-o mode,18
19,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",12
20,Unexpected exception causing shutdown while <*> still open,12
21,Accepted socket connection from/<*>,11
22,LOOKING,4
23,Closed socket connection for client <*> (no session established for client),4
24,Client attempting to renew session <*> at <*>,3
25,Revalidating client: <*>,3
26,Exception causing close of session <*> due to <*>,3
27,autopurge.purgeInterval set to <*>,3
28,FOLLOWING,2
29,FOLLOWING - LEADER ELECTION TOOK - <*>,2
30,Server environment:java.vendor=<*>,2
31,Server environment:user.name=<*>,2
32,Server environment:os.name=<*>,2
33,Snapshotting: <*> to <*>,2
34,Getting a snapshot from leader,2
35,minSessionTimeout set to <*>,2
36,Unexpected Exception: <*>,1
37,Server environment:user.dir=<*>,1
38,My election bind port: <*>,1
39,"Have smaller server identifier, so dropping the connection: (<*>, <*>)",1
40,"New election. My id = <*>, proposed zxid=<*>",1
41,Server environment:host.name=<*>,1
42,autopurge.snapRetainCount set to <*>,1
43,"Server environment:zookeeper.version=<*>, built on <*> GMT",1
44,tickTime set to <*>,1
45,Got user-level KeeperException when processing sessionid:<*> type:create cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:<*>,1
46,Starting quorum peer,1
47,Follower sid: <*> : <*> : <*>,1
48,maxSessionTimeout set to <*>,1
49,Server environment:java.class.path=<*>,1
50,Have quorum of supporters; starting up and setting last processed zxid: <*>,1
51,shutdown of request processor complete,1
52,First is <*>,1
53,Reading snapshot <*>,1
54,Sending <*>,1
55,Client attempting to establish new session at <*>,1
56,Server environment:java.home=<*>,1
