,EventTemplate,Occurrences,Type
0,"ready={},policy={},wakefulness={},wksummary={},uasummary={},bootcompleted={},boostinprogress={},waitmodeenable={},mode={},manual={},auto={},adj={},userId={}",199,True
2,N/A (There is no context or information provided in the log message to create a log template),181,False
1,"setSystemUiVisibility vis=%d mask=%d oldVal=%d newVal=%d diff=%d fullscreenStackVis=%d dockedStackVis=%d, fullscreenStackBounds=%s, dockedStackBounds=%s",181,True
3,HBM brightnessOut ={},85,True
4,"Animating brightness: target={}, rate={}",85,True
5,HBM brightnessIn ={},76,True
6,<method name>: <log message>,70,True
7,"userActivityNoUpdateLocked: eventTime=%d, event=%d, flags=%#x, uid=%d",69,True
8,"updateClipping isOverlap:{}, getTopPadding={}, Translation={}",65,True
9,updateDimmedActivatedHideSensitive overlap:{boolean},65,True
10,"Skipping, withExcluded: {}, tr.intent:{}",56,True
13,shouldBlockLocation running ...,37,True
12,getTasks: caller %s does not hold REAL_GET_TASKS; limiting output,37,True
11,shouldBlockLocation  ret:{},37,True
14,{action},36,True
15,"Acquiring suspend blocker ""{blocker_name}"".",33,True
16,"Releasing suspend blocker ""{blocker_name}"".",33,True
17,"acquire lock={}, flags={}, tag=""{}"", name={}, ws={}, uid={}, pid={}",26,True
18,Destroying surface Surface(name={}) called by {}.,22,True
19,"{action}Notification,index:{index}",20,True
20,"cancelNotificationWithTag pid %d,uid = %d,tag = %s,pkg =%s,id =%d",20,True
21,"release:lock={}, flg={}, tag=""{}"", name=""{}"", ws={}, uid={}, pid={}",19,True
22,cancelPeek: {},18,True
23,querySoundEffectsEnabled...,17,True
25,There is no log template provided in the given log message.,16,False
24,"notifyUiVisibilityChanged:vis=%s, SystemUiVisibility=%s",16,True
26,"getRecentTasks: num={},flags={},totalTasks={}",14,True
27,"setSystemUiVisibility vis=%s mask=%s oldVal=%s newVal=%s diff=%s fullscreenStackVis=%s dockedStackVis=%s, fullscreenStackBounds=%s, dockedStackBounds=%s",14,True
28,"interceptKeyBeforeQueueing: key {}, result : {}",14,True
29,interceptKeyTq keycode=%d interactive=%b keyguardActive=%b policyFlags=%x down %b canceled %b,14,True
30,"overlapAmount:{}, previousNotificationEnd:{}, newYTranslation:{}, location:{}, i:{}, getTopPadding:{}, getLocationOnScreen():{}",13,True
31,"updateNotificationShade: total={}, active={}",13,True
32,isMusicActive...,12,True
33,getRunningAppProcesses: caller %d does not hold REAL_GET_TASKS; limiting output,11,True
34,There is no log template provided in this log message.,10,False
35,playSoundEffect   effectType: {},10,True
38,getRecentTasks: topActivity=ComponentInfo{<package_name>/<activity_name>},9,True
37,HBM brightnessIn ={brightnessIn},9,True
36,getLastAudibleStreamVolume  treamType: {},9,True
39,{action} called,8,True
40,"animateCollapsePanels:flags=%d, force=%b, delayed=%b, mExpandedVisible=%b",8,True
41,"Skipping, withExcluded: false, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:xxxxxxxxxxx flg=0x10808000 cmp=com.android.contacts/.ChooseSubActivity (has extras) }",7,True
42,"release:lock=%d, flg=%#x, tag=""%s"", name=""%s"", ws=%s, uid=%d, pid=%d",7,True
43,There is not enough information to determine the log template from the provided log message.,7,False
44,"state.clipTopAmount:{}, i:{}",7,True
50,"""The change in focus caused us to need to do a layout end""",6,True
