,EventTemplate,Occurrences
0,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>",199
1,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=<*>, dockedStackBounds=<*>",195
2,setLightsOn(<*>),181
3,HBM brightnessIn =<*>,85
4,HBM brightnessOut =<*>,85
5,"Animating brightness: target=<*>, rate=<*>",85
6,<*>: <*>,74
7,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
8,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
9,updateDimmedActivatedHideSensitive overlap:<*>,65
10,"Skipping, withExcluded: <*>, tr.intent:<*>",56
11,<*>,46
12,shouldBlockLocation running ...,37
13,shouldBlockLocation ret:<*>,37
14,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,37
15,"Releasing suspend blocker ""<*>"".",33
16,"Acquiring suspend blocker ""<*>"".",33
17,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
18,"release:lock=<*>, flg=<*>, tag=""<*>"", name=""<*>"", ws=<*>, uid=<*>, pid=<*>",26
19,Destroying surface Surface(name=<*>) called by <*>.,22
20,cancelPeek: <*>,20
21,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>",20
22,"<*>,index:<*>",20
23,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
24,querySoundEffectsEnabled...,17
25,cancelAutohide,15
26,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=%x down <*> canceled <*>,14
27,"interceptKeyBeforeQueueing: key <*>, result : <*>",14
28,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
29,getRecentTasks: topActivity=ComponentInfo{<*>/<*>},14
30,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",13
31,"updateNotificationShade: total=<*>, active=<*>",13
32,"state.clipTopAmount:<*>, i:<*>",12
33,closeQs,12
34,isMusicActive...,12
35,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,11
36,resumeSuspendedAutohide,10
37,playSoundEffect effectType: <*>,10
38,instantCollapse,9
39,getLastAudibleStreamVolume treamType: <*>,9
40,<*> called,8
41,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
42,"Skipping, withExcluded: <*>, tr.intent:Intent { act=com.android.contacts.action.CHOOSE_SUB dat=tel:xxxxxxxxxxx flg=0x10808000 cmp=com.android.contacts/.ChooseSubActivity (has extras) }",7
43,<*> is <*>,6
44,"updateLightsLocked,mInCall = <*>,mScreenOn = <*>,ledNotification == <*>",6
45,logNotificationVisibilityChanges runInThread start,6
46,logNotificationVisibilityChanges <*>,6
47,The change in focus caused us to need to do a layout begin,6
48,The change in focus caused us to need to do a layout end,6
49,cleanUpApplicationRecord -- <*>,6
50,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
51,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
52,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,6
53,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,6
54,getNeighboringCellInfo calling app is <*>,5
55,"setSystemUiVisibility vis=<*> mask=%x oldVal=%x newVal=%x diff=%x fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=<*>, dockedStackBounds=<*>",5
56,"updateLightsLocked,turn off notificationLight",5
57,Skipping <*> -- going to hide,4
58,"ActivityRecord info: ActivityInfo{<*>}, euid: <*>",4
59,"Taking screenshot from Surface with crop:[Rect(<*>, <*> - <*>, <*>)], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[<*>], rot:[<*>]",4
60,makeExpandedInvisible: mExpandedVisible=<*>,4
61,received broadcast <*>,4
62,mHeadsUpExistenceChangedRunnable,4
63,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> USER_ROTATION_LOCKED",3
64,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
65,<*> not in <*>.,3
66,"cancelNotification,index:<*>",3
67,disable: < <*> >,3
68,Received <*> alarm; rescheduling,3
69,scheduleTimeTickEvent triggerAtTime = <*>,3
70,getRingerMode...,3
71,<*> is blocked by permission manager. callingPackage = <*>,3
72,<*> <*>,2
73,remove(<*>) changed bounds; rebatching,2
74,"Application requested orientation <*>, got rotation <*> which has compatible metrics",2
75,"onTouchEvent::<*>, x=<*>, y=<*>",2
76,getRingtonePlayer...,2
77,"flingToHeight: vel=<*>, expand=<*>, target=<*>, collapseSpeedUpFactor=<*>, expandBecauseOfFalsing=<*>",2
78,Sending non-protected broadcast <*> from system <*>/<*> pkg <*>,2
79,"onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>, y[<*>]=<*>, toolType[<*>]=<*>, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",2
80,"onInterceptTouchEvent MotionEvent { action=<*>, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>, y[<*>]=<*>, toolType[<*>]=<*>, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",2
81,onNotificationClick called,2
82,"cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>",2
83,"<*> called, tell the app, reason = <*>",2
84,cancelNotificationLocked:<*>|<*>|<*>|<*>|<*>,2
85,"cancelNotificationLocked,remove =<*>",2
86,applyOptionsLocked: Unknown animationType=<*>,2
87,removeNotification:<*>|<*>|<*>|<*>|<*>,2
88,setWiredDeviceConnectionState type: <*> state: <*>,2
89,getDevicesForStream streamType: <*>,2
90,handleTimeUpdate,2
91,Destroying surface Surface(name=<*>) called by <*>,2
92,"sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*>}},repeatInterval = <*>,listenerTag =<*>",2
93,enqueueNotificationInternal: pkg=<*> id=<*> notification=<*>,2
94,enqueueNotificationInternal: n.getKey = <*>,2
