,EventTemplate,Occurrences,Type
0,generating core.{id},468,True
1,generating core.{core_id},126,True
2,{number} floating point alignment exceptions,91,True
3,"CE sym %d, at %p, mask %x",86,True
4,{message},76,True
5,data TLB error interrupt,60,True
6,"{total_interrupts} total interrupts. {critical_input_interrupts} critical input interrupts. {total_critical_interrupt_time} microseconds total spent on critical input interrupts, {max_critical_interrupt_time} microseconds max time in a critical input interrupt.",55,True
7,iar {var1} dear {var2},45,True
8,{number} {string} alignment exceptions,45,True
9,{microseconds} microseconds spent in the rbs signal handler during {calls} calls. {max_time} microseconds was the maximum time for a single instance of a correctable ddr.,42,True
10,generating core.%d,41,True
11,ciod: Error loading {file_path}: {error_message},39,True
13,No log template can be extracted from this log message as it does not contain any meaningful information or context.,35,True
12,{idoproxydb hit ASSERT condition: ASSERT expression={expression} Source file={source_file} Source line={source_line} Function={function}},35,True
14,ciod: generated {core_files} core files for program {program_path},27,True
15,iar {} dear {},26,True
16,N/A (unable to determine log template without additional context or information),25,True
17,N/A (The provided log message does not contain any meaningful information or context to determine a log template),23,True
18,generating core.{process_id},23,True
19,instruction address: {},21,True
20,{timestamp} {log_level} {message},20,True
21,generating core.{number},18,True
22,"{number} ddr errors(s) detected and corrected on rank {number}, symbol {number}, bit {number}",18,True
23,ciod: {message},17,True
25,N/A (There is no discernible pattern or information in the provided log message),16,True
26,"ciod: Received signal {signal}, code={code}, errno={errno}, address={address}",16,True
24,generating core.{variable},16,True
27,"{total_interrupts} total interrupts. {critical_input_interrupts} critical input interrupts. {total_time_critical_input_interrupts} microseconds total spent on critical input interrupts, {max_time_critical_input_interrupt} microseconds max time in a critical input interrupt.",13,True
28,<number> floating point alignment exceptions,13,True
29,total of {} ddr error(s) detected and corrected,13,True
30,ciod: LOGIN chdir({directory}) failed: {error message},12,True
31,generating core.{value},12,True
32,N/A (There is no clear indication of what this log message is trying to convey),11,True
33,{count} {type} alignment exceptions,10,True
34,data store interrupt caused by {cause},10,True
35,{microseconds} microseconds spent in the rbs signal handler during {calls} calls. {max_microseconds} microseconds was the maximum time for a single instance of a correctable ddr.,9,True
36,N/A (There is no clear indication of what this log message represents or what information it is conveying),9,True
39,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to {IP}:{PORT}: {MESSAGE},7,True
40,core configuration register: {},7,True
37,{count} floating point alignment exceptions,7,True
38,MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),7,True
41,rts: kernel terminated for reason {},6,True
42,{number} double-hummer alignment exceptions,6,True
43,"{number} ddr error(s) detected and corrected on rank {number}, symbol {number} over {number} seconds",6,True
44,{Node} card is not fully functional,6,True
45,Can not get assembly information for node card,6,True
