,EventTemplate,Occurrences
0,generating core.<*>,720
1,<*> floating point alignment exceptions,118
2,"CE sym <*>, at %p, mask %x",86
3,iar <*> dear <*>,78
4,<*>,76
5,"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, <*> microseconds max time in a critical input interrupt.",71
6,data TLB error interrupt,60
7,<*> <*> alignment exceptions,59
8,<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,51
9,ciod: Error loading <*>: <*>,40
10,{idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=<*> Source line=<*> Function=<*>},35
11,ciod: generated <*> core files for program <*>,28
12,<*> <*> <*>,22
13,instruction address: <*>,21
14,"<*> ddr errors(s) detected and corrected on rank <*>, symbol <*>, bit <*>",18
15,ciod: LOGIN chdir(<*>) failed: <*>,17
16,ciod: <*>,17
17,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>",16
18,<*> <*>,14
19,total of <*> ddr error(s) detected and corrected,13
20,data store interrupt caused by <*>,10
21,program interrupt: illegal instruction......<*>,8
22,<*> double-hummer alignment exceptions,8
23,Lustre mount FAILED : <*> : point <*>,8
24,core configuration register: <*>,7
25,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>: <*>,7
26,MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),7
27,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",7
28,<*> card is not fully functional,6
29,Can not get assembly information for node card,6
30,"CE sym <*>, at <*>, mask <*>",6
31,rts: kernel terminated for reason <*>,6
32,iar 001061dc dear 0244c22c,6
33,machine check: i-fetch......................<*>,5
34,exception syndrome register: <*>,5
35,program interrupt: privileged instruction...<*>,5
36,program interrupt: imprecise exception......<*>,5
37,<*>.........................<*>,5
38,floating pt ex mode <*> enable......<*>,5
39,data address space................<*>,5
40,<*> <log level> <*>,5
41,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=<*> <*>,5
42,Node card status: no ALERTs are active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is <*>. ASIC JTAG Reset is <*>. Temperature Mask is <*>. No temperature error. Temperature Limit Error Latch is <*>. PGOOD IS <*>. PGOOD ERROR LATCH IS <*>. MPGOOD IS <*>. MPGOOD ERROR LATCH IS <*>. The <*> volt rail is {<*> volt rail}. The <*> volt rail is {<*> volt rail}.,5
43,<*> input interrupt (unit=<*> bit=<*>): <*>,5
44,"ciod: <*> on CioStream socket to <*>, <*>",5
45,"Kernel detected <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>",5
46,data address: <*>,4
47,"""data address: <*>""",4
48,machine state register: <*>,4
49,floating point instr. enabled.....<*>,4
50,program interrupt: fp cr field .............<*>,4
51,ciod: Error creating node map from file <*>: <*>,4
52,iar 001061e8 dear 0247015c,4
53,"ciod: Error reading message prefix on CioStream socket to <*>, Connection reset by peer",4
54,total of <*> ddr error(s) detected and corrected over <*> seconds,4
55,ciod: failed to read message prefix on control stream (CioStream socket to <*>),3
56,"problem state (<*>=sup,<*>=usr).......<*>",3
57,disable store gathering..................<*>,3
58,<*> interrupt,3
59,<*> torus receiver <*> input pipe error(s) (dcr <*>) detected and corrected,3
60,<*> <log level> <log message>,3
61,New ido chip inserted into the database: <*> ip=<*> v=<*> t=<*>,3
62,ciod: pollControlDescriptors: <*>,3
63,"Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*>, found <*>",3
64,<*> <*> detected. <*> to <*>.,3
65,<*> <*> detected. <*>,3
66,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>",3
67,iar <*> dear 0244c1ec,3
68,iar <*> dear 0244c21c,3
69,iar 001061dc dear 0244c28c,3
70,iar <*> dear 0244c27c,3
71,iar <*> dear 0247019c,3
72,iar 001061b4 dear 0247017c,3
73,"ciod: Error reading message prefix on CioStream socket to <*>, Link has been severed",3
74,"Kernel detected <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>)",3
75,force load/store alignment...............<*>,2
76,store operation.............................<*>,2
77,machine check enable..............<*>,2
78,program interrupt: <*>,2
79,<*>.....................<*>,2
80,guaranteed instruction cache block touch.<*>,2
81,<*> <*>................<*>,2
82,debug wait enable.................<*>,2
83,ciod: Missing or invalid fields on line <*> of node map file <*>,2
84,<*> - stopping execution,2
85,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,2
86,ciod: LOGIN chdir(pwd) failed: <*>,2
87,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*>: Link has been severed,2
88,iar 0014a150 dear 00991c88,2
89,"NFS Mount failed on <*>, slept <*> seconds, retrying (<*>)",2
90,iar 001061dc dear 0244c25c,2
91,iar <*> dear 02494bfc,2
92,iar <*> dear 02494c2c,2
93,iar <*> dear 0245ccfc,2
94,iar 001061ec dear 02f6668c,2
95,iar 001061e8 dear 0247012c,2
96,"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>)",2
97,<*> torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over <*> seconds,2
98,ciod: generated <*> for program <*>,2
99,Lustre mount FAILED : <*> : <*> : <*>,2
100,"ciod: Error reading message prefix on CioStream socket to <*>, Connection timed out",2
101,<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> seconds,2
102,ciod: cpu <*> at treeaddr <*> sent unrecognized message <*>,1
103,ciod: Message code <*> is not <*> or <*>,1
104,program interrupt: trap instruction.........<*>,1
105,debug interrupt enable............<*>,1
106,program interrupt: fp cr update.............<*>,1
107,guaranteed data cache block touch........<*>,1
108,<*>....................<*>,1
109,wait state enable.................<*>,1
110,<*> input interrupt enable...<*>,1
111,"""special purpose registers:",1
112,lr:<*> cr:<*> xer:<*> ctr:<*>,1
113,instruction address space.........<*>,1
114,"""exception syndrome register: <*>""",1
115,generating <*>,1
116,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file <*>,1
117,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file <*>,1
