,EventTemplate,Occurrences,Type
0,Address change detected. Old: {old_address} New: {new_address},476,True
1,Failed to renew lease for [{}] for {} seconds. Will retry shortly ...,326,True
2,Progress of TaskAttempt {{task_attempt_id}} is : {{progress}},167,True
3,Retrying connect to server: {server_name}:{port}. Already tried {retry_count} time(s); retry policy is {retry_policy},146,True
4,{LOG_LEVEL} IN CONTACTING RM.,144,True
5,"Recalculating schedule, headroom=<memory:{}, vCores:{}>",131,True
6,Reduce slow start threshold not met. completedMapsForReduceSlowstart {},130,True
7,Progress of TaskAttempt %s is : %f,97,True
8,Resolved {hostname} to {ip_address},39,True
9,Progress of TaskAttempt %s is : %s,17,True
10,task_{task_id} Task Transitioned from {old_state} to {new_state},16,True
11,Opening proxy : {proxy_address}:{port_number},13,True
12,Processing the event EventType: {eventType} for container {containerId} taskAttempt {taskAttemptId},12,True
13,After Scheduling: PendingReds:{PendingReds} ScheduledMaps:{ScheduledMaps} ScheduledReds:{ScheduledReds} AssignedMaps:{AssignedMaps} AssignedReds:{AssignedReds} CompletedMaps:{CompletedMaps} CompletedReds:{CompletedReds} ContAlloc:{ContAlloc} ContRel:{ContRel} HostLocal:{HostLocal} RackLocal:{RackLocal},12,True
14,attempt_{job_id}_{task_attempt_id} TaskAttempt Transitioned from {old_state} to {new_state},10,True
15,Got allocated containers {},10,True
16,JVM with ID : {} asked for a task,10,True
17,Auth successful for job_{job_id} (auth:{auth_type}),10,True
18,Shuffle port returned by ContainerManager for attempt_{task_attempt_id} : {port_number},10,True
19,ATTEMPT_START task_{task_id},10,True
20,attempt_{job_id}_{task_attempt_id}_{task_attempt_type} TaskAttempt Transitioned from {old_state} to {new_state},9,True
21,JVM with ID: {} given task: {},9,True
22,Registering class {} for class {},9,True
24,Assigned container {} to attempt_{}_{}_{}_{},8,True
23,Progress of TaskAttempt attempt_{task_attempt_id} is : {progress},8,True
26,attempt_{job_id}_{attempt_id}_{task_type}_{task_id}_{attempt_num} TaskAttempt Transitioned from {old_state} to {new_state},7,True
25,TaskAttempt: [attempt_{task_attempt_id}] using containerId: [container_{container_id} on NM: [{node_manager_host}:{node_manager_port}],7,True
27,attempt_{job_id}_{task_id}_{attempt_id} TaskAttempt Transitioned from {old_state} to {new_state},6,True
28,Launching attempt_{job_id}_{task_type}_{task_attempt}_{attempt_number},6,True
29,"getResources() for application_{application_id}: ask={ask} release={release} newContainers={new_containers} finishedContainers={finished_containers} resourcelimit=<memory:{memory}, vCores:{vcores}> knownNMs={known_nms}",6,True
30,Before Scheduling: PendingReds:{PendingReds} ScheduledMaps:{ScheduledMaps} ScheduledReds:{ScheduledReds} AssignedMaps:{AssignedMaps} AssignedReds:{AssignedReds} CompletedMaps:{CompletedMaps} CompletedReds:{CompletedReds} ContAlloc:{ContAlloc} ContRel:{ContRel} HostLocal:{HostLocal} RackLocal:{RackLocal},5,True
31,Diagnostics report from attempt_{task_attempt_id}: Error: {error_message}; For more details see: {link_to_wiki},4,True
32,"getResources() for application_{application_id}: ask={ask} release={release} newContainers={new_containers} finishedContainers={finished_containers} resourcelimit=<memory:{memory_limit}, vCores:{vcores_limit}> knownNMs={known_nms}",4,True
36,job_{job_id}Job Transitioned from {old_state} to {new_state},3,True
38,TaskAttempt: [attempt_{task_attempt_id}] using containerId: [container_{container_id} on NM: [{node_manager_host}:{node_manager_port}]],3,True
41,attempt_{job_id}_{task_attempt_id}_{task_attempt_type} TaskAttempt Transitioned from {previous_state} to {current_state},3,True
40,attempt_{job_id}_{attempt_id}_{task_type}_{transition_from}_to_{transition_to},3,True
39,KILLING attempt_{job_id}_{task_type}_{task_id}_{attempt_id},3,True
34,ERROR IN CONTACTING RM.,3,True
37,"Default file system [{}]
",3,True
35,attempt_{job_id}_{attempt_id}_{task_type}_{task_id}_{attempt_num} TaskAttempt Transitioned from UNASSIGNED to ASSIGNED,3,True
33,Launching attempt_{job_id}_{task_type}_{task_attempt}_{task_attempt_id},3,True
53,Task cleanup failed for attempt {{attempt_id}},2,True
51,"getResources() for application_{appId}: ask={ask} release={release} newContainers={newContainers} finishedContainers={finishedContainers} resourcelimit=<memory:{memory}, vCores:{vCores}> knownNMs={knownNMs}",2,True
52,{task_id} Task Transitioned from {old_state} to {new_state},2,True
49,{number of failures} failures on node {node name},2,True
54,{variable} is {value},2,True
55,Processing the event EventType: {},2,True
50,Task: ${task_id} - exited : ${exception_message}; For more details see: ${link},2,True
45,Using callQueue class {},2,True
48,IPC Server listener on {}: starting,2,True
42,adding path spec: {},2,True
46,Added filter {FILTER_NAME} (class={FILTER_CLASS}) to context {CONTEXT_NAME},2,True
44,Received completed container {},2,True
43,IPC Server Responder: {},2,True
