,EventTemplate,Occurrences,Type
0,<component>: <message>,167,True
1,Cocoa scripting error for '{code}': {message},70,True
2,dnssd_clientstub ConnectToServer: connect()-> No of tries: {},44,True
3,Thermal pressure state: {} Memory pressure state: {},39,True
4,Location icon should now be in state '{state}',37,True
5,<Class>::<Method> <Message>,35,True
6,ARPT: %.6f: AirPort_Brcm43xx::platformWoWEnable: WWEN[%s],26,True
7,send_datagram_available_ping: pid {} failed to act on a ping it dequeued before timing out.,26,True
8,<function_name> Exiting <function_name>,22,True
12,AppleCamIn::systemWakeCall - messageType = <Description>,21,True
11,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = %s port = %d unplug = %d,21,True
9,Sandbox: {process_name}({process_id}) {action}({result}) {resource_type} {resource_path},21,True
10,{time} : {message},21,True
13,AppleCamIn::systemWakeCall - messageType = <Value>,20,True
14,button report: {},20,True
15,"CCFile::captureLog Received Capture notice id: {id}, reason = {reason}",20,True
16,"CCFile::captureLogRun Skipping current file Dir file [DATE]-[FILENAME], Current File [DATE]-[FILENAME]",20,True
17,<component>::<event>,20,True
18,-[<Class/Method> <Action>] <Message>,19,True
19,<Component>::<Action> - <Status> - took <Time>,19,True
22,{class}::{method},17,True
21,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] {message},17,True
20,FA||Url||taskID[] dealloc,17,True
23,__[THREAD]-[CLASS METHOD]_block_invoke [MESSAGE],16,True
28,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = %d port = %d unplug = %d,15,True
30,en0: BSSID changed to {},15,True
29,<Component>::<Action> - <Description>,15,True
31,Received Capture Event,15,True
27,ARPT: %.6f: AirPort_Brcm43xx::%s: %s,15,True
26,Previous sleep cause: {},15,True
25,<component>::<function>,15,True
24,{action} successfully changed NAT64 ifstate from {old_state} to {new_state},15,True
33,{interface}: channel changed to {channel},14,True
34,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=%d (%@)/(%@) opts=%@ when=%@ confidence=%d from=(%@)/(%@) (%@ #%d),14,True
32,KeychainGetICDPStatus: keychain: {},14,True
35,-[<class> <method>] <message>,13,True
36,<function_name> <line_number> failed: <error_code> - <error_message>,13,True
37,dnssd_clientstub ConnectToServer: connect() failed path:%s Socket:%d Err:%d Errno:%d %s,13,True
38,Error returned from iconservicesagent: {},13,True
39,"NETWORK: requery, {}, {}, {}, {}, {}, items, fQueryRetries, {}, fLastRetryTimestamp, {}.",12,True
47,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=1035 ""{error message}"" UserInfo={NSDescription={error message}}",11,True
44,<Module> -- <Message>,11,True
46,RTC: PowerByCalendarDate setting ignored,11,True
45,{class}::{method}() {message},11,True
43,Captive: CNPluginHandler {interface}: {status},11,True
42,ARPT: %.6f: wl0: MDNS: IPV6 Addr: %s,11,True
41,ARPT: %.6f: AirPort_Brcm43xx::syncPowerState: WWEN[%s],11,True
40,[timestamp] [module] [message] at [file] line [line number],11,True
48,jemmytest,10,True
49,[timestamp] <<<< [module] >>>> [message],10,True
50,"USBMSC Identifier (non-unique): %s %s %s %s, %s",10,True
51,{}({}) {} {},10,True
55,ASL Sender Statistics,9,True
56,ARPT: %.6f: AirPort_Brcm43xx::powerChange: %s,9,True
53,AppleCamIn::systemWakeCall - messageType = <Message>,9,True
54,<class>::<function> <message>,9,True
52,ARPT: %f: wl0: MDNS: IPV6 Addr: %s,9,True
63,############################## _getSysMsgList,8,True
69,"ARPT: %.6f: %s: setup_keepalive: Seq: %u, Ack: %u, Win size: %u",8,True
