,EventTemplate,Occurrences
0,<*>: <*>,178
1,Cocoa scripting error for '<*>': <*>,70
2,<*>::<*> <*>,56
3,<*>::<*>,53
4,AppleCamIn::systemWakeCall - messageType = <*>,50
5,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,44
6,Thermal pressure state: <*> Memory pressure state: <*>,39
7,Location icon should now be in state '<*>',37
8,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = <*> port = <*> unplug = <*>,36
9,<*>(<*>) <*> <*>,29
10,ARPT: <*>: AirPort_Brcm43xx::platformWoWEnable: WWEN[<*>],28
11,<*> : <*>,26
12,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
13,<*>::<*> - <*>,25
14,<*> Exiting <*>,22
15,Sandbox: <*>(<*>) <*>(<*>) <*> <*>,21
16,ARPT: <*>: wl0: MDNS: IPV6 Addr: <*>,21
17,"CCFile::captureLog Received Capture notice id: <*>, reason = <*>",20
18,button report: <*>,20
19,"CCFile::captureLogRun Skipping current file Dir file <*>-<*>, Current File <*>-<*>",20
20,<*>::<*> - <*> - took <*>,19
21,-[<Class/Method> <*>] <*>,19
22,FA||Url||<*> dealloc,17
23,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] <*>,17
24,ARPT: <*>: AirPort_Brcm43xx::<*>: <*>,17
25,<*>-[CLASS METHOD]_block_invoke <*>,16
26,en0: BSSID changed to <*>,16
27,<*> successfully changed NAT64 ifstate from <*> to <*>,15
28,Previous sleep cause: <*>,15
29,Received Capture Event,15
30,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (<*>) UASuggestedActionType=<*> (<*>)/(<*>) opts=<*> when=<*> confidence=<*> from=(<*>)/(<*>) (<*> #<*>),14
31,<*>: channel changed to <*>,14
32,KeychainGetICDPStatus: keychain: <*>,14
33,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: <*>, 'ExternalConnected': <*>, 'TimeRemaining': <*>,",13
34,-[<*> <*>] <*>,13
35,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> <*>,13
36,Error returned from iconservicesagent: <*>,13
37,<*> <*> failed: <*> - <*>,13
38,ARPT: <*>: AirPort_Brcm43xx::syncPowerState: WWEN[<*>],12
39,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=com.apple.security.sos.error Code=<*> ""<*>"" UserInfo={NSDescription=<*>}",12
40,"USBMSC Identifier (non-unique): <*> <*> <*> <*>, <*>",12
41,"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>.",12
42,ARPT: <*>: AirPort_Brcm43xx::powerChange: <*>,12
43,ARPT: <*>: ARPT: Wake Reason: <*>,11
44,<*>::<*>() <*>,11
45,AirPort: Link Up on <*>,11
46,RTC: PowerByCalendarDate setting ignored,11
