,Unnamed: 0,LineId,Time,Program,Content,EventId,EventTemplate
0,0,1,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
1,1,2,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
2,2,3,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
3,3,4,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",E8,"<*>: <*> <*>, <*> bytes sent, <*> bytes received, lifetime <*>"
4,4,5,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
5,5,6,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
6,6,7,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
7,7,8,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 403 bytes sent, 426 bytes received, lifetime <1 sec",E8,"<*>: <*>, <*> bytes sent, <*> bytes received, lifetime <*> sec>"
8,8,9,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
9,9,10,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
10,10,11,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 451 bytes sent, 18846 bytes (18.4 KB) received, lifetime <1 sec",E8,"<*> <*>, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>"
11,11,12,10.30 16:49:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 445 bytes sent, 5174 bytes (5.05 KB) received, lifetime <1 sec",E8,"<*> <*>, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>"
12,12,13,10.30 16:49:08,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
13,13,14,10.30 16:49:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1190 bytes (1.16 KB) sent, 1671 bytes (1.63 KB) received, lifetime 00:02",E8,"<*>: <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>"
14,14,15,10.30 16:49:08,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
15,15,16,10.30 16:49:08,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E8,"<*>: <*>, <*> bytes sent, <*> bytes received, lifetime <*>"
16,16,17,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 3098 bytes (3.02 KB) received, lifetime 00:01",E8,"<*>: <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>"
17,17,18,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
18,18,19,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 815 bytes received, lifetime <1 sec",E8,"<*> <*>, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>"
19,19,20,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*>: <*> open through proxy <*> <*>
20,20,21,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 783 bytes received, lifetime <1 sec",E8,"<*> <*>, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>"
