,EventTemplate,Occurrences,Type
0,{server}: {port} open through proxy {proxy_server}:{proxy_port} {protocol},461,True
1,{host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},151,True
2,"{server}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",110,True
3,{source}:{port} open through proxy {proxy}:{proxy_port} {protocol},93,True
4,{server}:{port} open through proxy {proxy_server}:{proxy_port} {protocol},88,True
5,"{server}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",71,True
6,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",55,True
7,{source}: {port} open through proxy {proxy}: {proxy_port} {protocol},43,True
8,"{server}: {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",42,True
9,"{server}: {port} {action}, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",40,True
10,"{server}: {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{duration} sec>",32,True
12,"{server}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",31,True
11,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",31,True
13,{server}:{port} {level} : {message},30,True
14,"{server}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {lifetime}",29,True
15,"{server}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size}) received, lifetime {duration}",28,True
16,"{server}: {action}, {sent} bytes sent, {received} bytes received, lifetime <{time}>",28,True
17,"{server}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",27,True
18,"{server}: {port} {action}, {sent} bytes sent, {received} bytes received, lifetime {time}",23,True
19,{source}:{port} {action} through proxy {proxy}:{proxy_port} {protocol},20,True
20,"{server}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",20,True
21,"{server}: {action}, {sent} bytes ({size}), {received} bytes received, lifetime {time}",20,True
22,{service}:{port} open through proxy {proxy}:{proxy_port} {protocol},17,True
23,{server}:{port} open through proxy {proxy}:{proxy_port} {protocol},17,True
24,"{host}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",15,True
25,"{server}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",14,True
26,"{host}:{port} {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {lifetime}",14,True
27,"{server}: {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",14,True
28,{service}:{port} {level} : {message},14,True
29,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {lifetime}",13,True
30,<server>:<port> <level> : <message>,12,True
31,"{server}:{port} {action}, {sent} bytes ({sent_kb} KB) sent, {received} bytes received, lifetime {lifetime}",12,True
32,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec}",11,True
33,"{server}: {port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",10,True
34,"{server}: {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size}) received, lifetime {duration}",10,True
