,Unnamed: 0,LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
0,0,1,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,E23,Loaded Servicing Stack <*> with Core: <*>
1,1,2,2016-09-28,04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),E13,<*> <log level> <function name> (<dll name> version <version number>) called (stack <stack trace>)
2,2,3,2016-09-28,04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),E13,<*> <log level> <function name> (<dll name> version <version number>) called (stack <stack trace>)
3,3,4,2016-09-28,04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),E13,<*> <log level> <function name> (<dll name> version <version number>) called (stack <stack trace>)
4,4,5,2016-09-28,04:30:31,Info,CBS,Ending TrustedInstaller initialization.,E17,<*> <*>.
5,5,6,2016-09-28,04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,E44,Starting the TrustedInstaller main loop.
6,6,7,2016-09-28,04:30:31,Info,CBS,TrustedInstaller service starts successfully.,E48,<*> service starts successfully.
7,7,8,2016-09-28,04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,E40,SQM: Initializing online with Windows opt-in: <*>
8,8,9,2016-09-28,04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,E37,SQM: Cleaning up report files older than <*> days.
9,9,10,2016-09-28,04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,E42,SQM: Requesting upload of all unsent reports.
10,10,11,2016-09-28,04:30:31,Info,CBS,"SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",E39,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*>]"
11,11,12,2016-09-28,04:30:31,Info,CBS,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],E38,SQM: Failed to start standard sample upload. [HRESULT = <*>]
12,12,13,2016-09-28,04:30:31,Info,CBS,"SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",E41,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>"
13,13,14,2016-09-28,04:30:31,Info,CBS,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],E43,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*>]
14,14,15,2016-09-28,04:30:31,Info,CBS,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",E25,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending."
15,15,16,2016-09-28,04:30:31,Info,CBS,NonStart: Checking to ensure startup processing was not required.,E26,<*>: <*>
16,16,17,2016-09-28,04:30:31,Info,CSI,"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",E5,<*> <*> <*> (<*>)
17,17,18,2016-09-28,04:30:31,Info,CSI,"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",E2,"Creating NT transaction (seq <*>), objectname [<*>]""<*>"""
18,18,19,2016-09-28,04:30:31,Info,CSI,"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",E1,"Created NT transaction (seq <*>) result <*>, handle @<*>"
19,19,20,2016-09-28,04:30:31,Info,CSI,00000007@2016/9/27:20:30:31.462 CSI perf trace:,E3,<*> CSI perf trace:
20,20,21,2016-09-28,04:30:31,Info,CBS,"NonStart: Success, startup processing not required as expected.",E27,"NonStart: <*>, <*>."
21,21,22,2016-09-28,04:30:31,Info,CBS,Startup processing thread terminated normally,E47,<*> processing thread terminated <*>
22,22,23,2016-09-28,04:30:31,Info,CSI,00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,E4,<*> CSI Store <*> (0x00000000004c29e0) initialized
23,23,24,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4261722401 initialized by client WindowsUpdateAgent.,E36,Session: <*> initialized by client <*>.
24,24,25,2016-09-28,04:30:31,Info,CBS,Session: 30546173_4262462443 initialized by client WindowsUpdateAgent.,E36,Session: <*> initialized by client <*>.
25,25,26,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: <*>
26,26,27,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E18,Expecting attribute name [HRESULT = <*>]
27,27,28,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*>]
28,28,29,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: <*>
29,29,30,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
30,30,31,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*>]
31,31,32,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: <*>
32,32,33,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
33,33,34,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*>]
34,34,35,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: <*>
35,35,36,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
36,36,37,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*>]
37,37,38,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: <*>
38,38,39,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: <*>
39,39,40,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E18,Expecting attribute name [HRESULT = <*>]
40,40,41,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*>]
41,41,42,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: <*>
42,42,43,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
43,43,44,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*>]
44,44,45,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: <*>
45,45,46,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E18,Expecting attribute name [HRESULT = <*>]
46,46,47,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*>]
47,47,48,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: <*>
48,48,49,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E18,Expecting attribute name [HRESULT = <*>]
49,49,50,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*>]
50,50,51,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: <*>
51,51,52,2016-09-28,04:30:31,Info,CBS,Warning: Unrecognized packageExtended attribute.,E50,Warning: <*>
52,52,53,2016-09-28,04:30:31,Info,CBS,Expecting attribute name [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E18,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM]
53,53,54,2016-09-28,04:30:31,Info,CBS,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],E20,Failed to get next element [HRESULT = <*>]
