,EventTemplate,Occurrences,Type
0,Session: {session_id} initialized by client {client_name}.,609,True
1,"Read out cached package applicability for package: {PackageID}, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",363,True
2,Warning: {message},276,True
3,Failed to get next element [HRESULT = {HRESULT}],224,True
4,Expecting attribute name [HRESULT = <HRESULT_CODE> - CBS_E_MANIFEST_INVALID_ITEM],147,True
5,Expecting attribute name [HRESULT = {HRESULT}],75,True
6,"Read out cached package applicability for package: Package_for_KB{KBNumber}~{Architecture}~~{Version}, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",22,True
7,Failed to internally open package. [HRESULT = {HRESULT}],18,True
8,"Read out cached package applicability for package: {Package Name}~{Package Architecture}~~{Package Version}, ApplicableState: {Applicable State}, CurrentState:{Current State}",8,True
9,"Read out cached package applicability for package: Package_for_KB{PackageID}~{Architecture}~~{Version}, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",6,True
10,"Read out cached package applicability for package: {Package Name}, ApplicableState: {Applicable State}, CurrentState: {Current State}",6,True
12,"Loading offline registry hive: {0}, into registry key '{1}' from path '{2}'.",4,True
11,{Log level}: {Log message},4,True
13,<timestamp> <log level> <function name> (<dll name> version <version number>) called (stack <stack trace>),3,True
14,{Action} processing thread terminated {Status},3,True
15,CSI perf trace:,3,True
16,"Creating NT transaction (seq %d), objectname [%d]""%s""",3,True
68,"Read out cached package applicability for package: Package_for_KB2864202~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: {}, CurrentState:{}",2,True
75,Loaded Servicing Stack v{version} with Core: {core_path},2,True
74,"Read out cached package applicability for package: Package_for_KB947821~31bf3856ad364e35~amd64~~6.1.34.0, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",2,True
73,"Read out cached package applicability for package: Package_for_KB2690533~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: {}, CurrentState:{}",2,True
72,"Read out cached package applicability for package: Package_for_KB2843630~31bf3856ad364e35~amd64~~6.1.3.1, ApplicableState: {}, CurrentState:{}",2,True
71,"Read out cached package applicability for package: Package_for_KB2809900~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: {}, CurrentState:{}",2,True
70,"Read out cached package applicability for package: Package_for_KB3020393~31bf3856ad364e35~amd64~~6.1.1.2, ApplicableState: {ApplicableState}, CurrentState:{CurrentState}",2,True
69,"Read out cached package applicability for package: Package_for_KB2972211~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: {}, CurrentState:{}",2,True
60,"Read out cached package applicability for package: Package_for_KB{KB number}~{architecture}~~{version}, ApplicableState: {applicable state}, CurrentState:{current state}",2,True
67,"Read out cached package applicability for package: Package_for_KB3135983~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: {}, CurrentState:{}",2,True
66,"Read out cached package applicability for package: Package_for_KB3139940~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: %d, CurrentState:%d",2,True
65,"Read out cached package applicability for package: Package_for_KB2570947~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: {}, CurrentState:{}",2,True
64,"Read out cached package applicability for package: Package_for_KB2601626~31bf3856ad364e35~amd64~~6.1.1.0, ApplicableState: {}, CurrentState:{}",2,True
