,EventTemplate,Occurrences
0,Session: <*> initialized by client <*>.,609
1,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>",405
2,Warning: <*>,276
3,Failed to get next element [HRESULT = <*>],224
4,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],147
5,Expecting attribute name [HRESULT = <*>],77
6,Failed to internally open package. [HRESULT = <*>],18
7,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'.",7
8,<*>: <*>,6
9,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState: <*>",6
10,<*> <log level> <function name> (<dll name> version <version number>) called (stack <stack trace>),3
11,"Creating NT transaction (seq <*>), objectname [<*>]""<*>""",3
12,"Created NT transaction (seq <*>) result <*>, handle @<*>",3
13,<*> CSI perf trace:,3
14,<*> processing thread terminated <*>,3
15,Loaded Servicing Stack <*> with Core: <*>,2
16,Starting the TrustedInstaller main loop.,2
17,<*> service starts successfully.,2
18,SQM: Initializing online with Windows opt-in: <*>,2
19,SQM: Cleaning up report files older than <*> days.,2
20,SQM: Requesting upload of all unsent reports.,2
21,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*>]",2
22,SQM: Failed to start standard sample upload. [HRESULT = <*>],2
23,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>",2
24,SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*>],2
25,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
26,<*> <*> <*> (<*>),2
27,"NonStart: <*>, <*>.",2
28,"Read out cached package applicability for package: Package_for_KB3127220~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
29,"Read out cached package applicability for package: Package_for_KB3185319~31bf3856ad364e35~amd64~~11.<*>, ApplicableState: <*>, CurrentState:<*>",2
30,"Read out cached package applicability for package: Package_for_KB2978742~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
31,"Read out cached package applicability for package: Package_for_KB3055642~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
32,"Read out cached package applicability for package: Package_for_KB2563227~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
33,"Read out cached package applicability for package: Package_for_KB2607047~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
34,"Read out cached package applicability for package: Package_for_KB3184471~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
35,"Read out cached package applicability for package: Package_for_KB3146963~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
36,"Read out cached package applicability for package: Package_for_KB2716513~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
37,"Read out cached package applicability for package: Package_for_KB3059317~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
38,"Read out cached package applicability for package: Package_for_KB3078667~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
39,"Read out cached package applicability for package: Package_for_KB2620704~31bf3856ad364e35~amd64~~6.<*>, ApplicableState: <*>, CurrentState:<*>",2
