,EventTemplate,Occurrences
0,Interrupted while waiting for message on queue,314
1,Received connection request <*>,299
2,"Connection broken for id <*>, my id = <*>, error = <*>",291
3,<*>,278
4,<*> worker leaving thread,262
5,Cannot open channel to <*> at election address <*>,86
6,Established session <*> with negotiated timeout <*> for client <*>,50
7,Accepted socket connection from <*>,48
8,Processed session termination for sessionid: <*>,47
9,Closed socket connection for client <*> which had sessionid <*>,43
10,Client attempting to establish new session at <*>,41
11,"Expiring session <*>, timeout of <*> exceeded",40
12,Notification time out: <*>,37
13,caught <*> exception,37
14,Connection request from old client <*>; will be dropped if server is in r-o mode,32
15,GOODBYE <*>,10
16,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), <*> (n.state), <*> (n.sid), <*> (n.peerEPoch), <*> (my state)",9
17,Connection request from old client <*> address>:<*>; will be dropped if server is in r-o mode,7
18,GOODBYE <*>/,6
19,LOOKING,4
20,<*> set to <*>,4
21,Closed socket connection for client <*> (<*>),4
22,Client attempting to renew session <*> at <*>,3
23,Revalidating client: <*>,3
24,Exception causing close of session <*> due to <*>: <*>,3
25,GOODBYE <*> ********,3
26,autopurge.purgeInterval set to <*>,3
27,FOLLOWING,2
28,FOLLOWING - LEADER ELECTION TOOK - <*>,2
29,Server environment:java.vendor=<*>,2
30,Server environment:user.name=<*>,2
31,Server environment:os.name=<*>,2
32,Snapshotting: <*> to <*>,2
33,Getting a snapshot from leader,2
34,"Notification: <*> (<*>), 0x%x (<*>), 0x%x (<*>), <*> (<*>), <*> (<*>), 0x%x (<*>), <*> (<*>)",2
35,Unexpected Exception:,1
36,Server environment:user.dir=<*>,1
37,"""My election bind port: <*>""",1
38,"Have smaller server identifier, so dropping the connection: (<*>, <*>)",1
39,"New election. My id = <*>, proposed zxid=<*>",1
40,Server environment:host.name=<*>,1
41,"Server environment:zookeeper.version=<*>, built on <*> GMT",1
42,tickTime set to <*>,1
43,Got user-level KeeperException when processing sessionid:<*> type:<*> cxid:<*> zxid:<*> txntype:<*> reqpath:<*> Error Path:<*> Error:<*>,1
44,"Notification: <*> (<*>), <*> (<*>), <*> (<*>), <*> (<*>), <*> (<*>), <*> (<*>), <*> (<*>)",1
45,Starting quorum peer,1
46,Follower sid: <*> : <*> : <*>,1
47,Closed socket connection for client <*> which had sessionid 0x.<*>,1
48,Server environment:java.class.path=<*>,1
49,Have quorum of supporters; starting up and setting last processed zxid: <*>,1
50,<*> of request processor complete,1
51,"""First is <*>""",1
52,Reading snapshot <*>,1
53,Sending DIFF,1
54,Server environment:java.home=<*>,1
